"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2026.01.02	09:00:00	5823.950	5825.008	5813.490	5821.990	14620	59883	1"
"2026.01.02	09:05:00	5821.990	5822.990	5803.490	5808.990	17275	62106	1"
"2026.01.02	09:10:00	5808.990	5811.990	5804.490	5804.490	11184	37304	1"
"2026.01.02	09:15:00	5804.490	5807.990	5799.990	5800.990	11669	41422	1"
"2026.01.02	09:20:00	5800.990	5806.990	5800.990	5803.490	7149	21884	1"
"2026.01.02	09:25:00	5802.990	5804.990	5797.490	5800.990	10401	32134	1"
"2026.01.02	09:30:00	5800.990	5806.490	5800.490	5804.990	7844	33114	1"
"2026.01.02	09:35:00	5804.990	5805.990	5798.490	5798.490	7279	24150	1"
"2026.01.02	09:40:00	5798.490	5800.990	5792.990	5793.490	10957	36994	1"
"2026.01.02	09:45:00	5793.990	5796.490	5792.490	5793.990	5261	19381	1"
"2026.01.02	09:50:00	5793.990	5794.990	5788.990	5789.990	6451	29134	1"
"2026.01.02	09:55:00	5789.490	5791.990	5783.490	5787.490	10760	46814	1"
"2026.01.02	10:00:00	5787.490	5791.990	5785.990	5786.990	9050	36901	1"
"2026.01.02	10:05:00	5786.990	5793.990	5786.990	5792.990	6965	24683	1"
"2026.01.02	10:10:00	5792.990	5796.490	5790.490	5796.490	6802	26534	1"
"2026.01.02	10:15:00	5796.490	5796.990	5792.990	5792.990	6343	24015	1"
"2026.01.02	10:20:00	5792.990	5794.490	5791.490	5791.490	3839	17528	1"
"2026.01.02	10:25:00	5791.490	5793.490	5790.990	5790.990	2225	7319	1"
"2026.01.02	10:30:00	5790.990	5794.990	5788.990	5789.490	6445	25605	1"
"2026.01.02	10:35:00	5789.490	5791.490	5788.990	5790.490	3103	16061	1"
"2026.01.02	10:40:00	5789.990	5791.490	5788.990	5789.490	2031	9047	1"
"2026.01.02	10:45:00	5788.990	5790.990	5778.990	5782.990	17615	77555	1"
"2026.01.02	10:50:00	5783.490	5783.490	5774.990	5778.490	13272	66989	1"
"2026.01.02	10:55:00	5778.490	5786.990	5776.990	5785.990	8165	29230	1"
"2026.01.02	11:00:00	5785.990	5790.490	5784.990	5786.490	7747	32288	1"
"2026.01.02	11:05:00	5786.990	5789.490	5785.990	5788.490	4256	16481	1"
"2026.01.02	11:10:00	5788.490	5789.490	5782.990	5784.490	5758	23159	1"
"2026.01.02	11:15:00	5784.990	5784.990	5773.990	5781.990	11116	44949	1"
"2026.01.02	11:20:00	5781.990	5782.490	5772.990	5774.990	6625	28462	1"
"2026.01.02	11:25:00	5774.990	5777.990	5773.490	5777.990	5845	30260	1"
"2026.01.02	11:30:00	5777.990	5786.990	5777.990	5785.490	10435	45010	1"
"2026.01.02	11:35:00	5785.490	5792.990	5784.990	5791.490	8984	33198	1"
"2026.01.02	11:40:00	5791.490	5795.990	5790.490	5792.990	7645	30064	1"
"2026.01.02	11:45:00	5792.490	5795.990	5789.990	5790.490	7172	31882	1"
"2026.01.02	11:50:00	5789.990	5790.990	5786.990	5790.490	5565	18070	1"
