,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10000.0
2026-02-04,10000.0
2026-02-05,10000.0
2026-02-06,10000.0
2026-02-09,10000.0
2026-02-10,10000.0
2026-02-11,10000.0
2026-02-12,10000.0
2026-02-13,9893.0
2026-02-18,9893.0
2026-02-19,9786.0
2026-02-20,9786.0
2026-02-23,9839.0
2026-02-24,9902.0
2026-02-25,9902.0
2026-02-26,9795.0
2026-02-27,9795.0
2026-03-02,9933.0
2026-03-03,9986.0
2026-03-04,10144.0
2026-03-05,10037.0
2026-03-06,10145.0
2026-03-09,10038.0
2026-03-10,10091.0
2026-03-11,10159.0
2026-03-12,10159.0
2026-03-13,10212.0
2026-03-16,10105.0
2026-03-17,9998.0
2026-03-18,9891.0
2026-03-19,9784.0
2026-03-20,9677.0
2026-03-23,9765.0
2026-03-24,9658.0
2026-03-25,9658.0
2026-03-26,9658.0
2026-03-27,9658.0
2026-03-30,9658.0
2026-03-31,9658.0
2026-04-01,9658.0
2026-04-02,9658.0
2026-04-06,9658.0
2026-04-07,9658.0
2026-04-08,9658.0
2026-04-09,9658.0
2026-04-10,9658.0
2026-04-13,9551.0
2026-04-14,9551.0
2026-04-15,9551.0
2026-04-16,9551.0
2026-04-17,9551.0
2026-04-20,9551.0
2026-04-22,9551.0
2026-04-23,9551.0
2026-04-24,9604.0
2026-04-27,9497.0
2026-04-28,9497.0
2026-04-29,9550.0
2026-04-30,9550.0
2026-05-04,9603.0
2026-05-05,9603.0
2026-05-06,9603.0
2026-05-07,9656.0
2026-05-08,9656.0
2026-05-11,9656.0
2026-05-12,9656.0
2026-05-13,9656.0
2026-05-14,9709.0
2026-05-15,9602.0
2026-05-18,9495.0
2026-05-19,9548.0
2026-05-20,9601.0
2026-05-21,9494.0
2026-05-22,9494.0
2026-05-25,9387.0
2026-05-26,9387.0
2026-05-27,9387.0
2026-05-28,9387.0
2026-05-29,9440.0
2026-06-01,9440.0
2026-06-02,9440.0
2026-06-03,9440.0
2026-06-05,9493.0
2026-06-08,9546.0
2026-06-09,9599.0
2026-06-10,9599.0
2026-06-11,9599.0
2026-06-12,9652.0
2026-06-15,9705.0
2026-06-16,9705.0
2026-06-17,9758.0
2026-06-18,9758.0
2026-06-19,9811.0
2026-06-22,9811.0
2026-06-23,9811.0
2026-06-24,9811.0
2026-06-25,9811.0
2026-06-26,9704.0
2026-06-29,9704.0
2026-06-30,9704.0
