,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9893.0
2026-02-03,9946.0
2026-02-04,9999.0
2026-02-05,9892.0
2026-02-06,9785.0
2026-02-09,9838.0
2026-02-10,9731.0
2026-02-11,9624.0
2026-02-12,9677.0
2026-02-13,9760.0
2026-02-18,9760.0
2026-02-19,9653.0
2026-02-20,9546.0
2026-02-23,9439.0
2026-02-24,9332.0
2026-02-25,9485.0
2026-02-26,9538.0
2026-02-27,9591.0
2026-03-02,9644.0
2026-03-03,9537.0
2026-03-04,9590.0
2026-03-05,9483.0
2026-03-06,9536.0
2026-03-09,9609.0
2026-03-10,9677.0
2026-03-11,9570.0
2026-03-12,9623.0
2026-03-13,9516.0
2026-03-16,9569.0
2026-03-17,9672.0
2026-03-18,9725.0
2026-03-19,9618.0
2026-03-20,9701.0
2026-03-23,9754.0
2026-03-24,9807.0
2026-03-25,9860.0
2026-03-26,9913.0
2026-03-27,9806.0
2026-03-30,9699.0
2026-03-31,9592.0
2026-04-01,9485.0
2026-04-02,9538.0
2026-04-06,9591.0
2026-04-07,9484.0
2026-04-08,9552.0
2026-04-09,9605.0
2026-04-10,9658.0
2026-04-13,9551.0
2026-04-14,9604.0
2026-04-15,9657.0
2026-04-16,9710.0
2026-04-17,9763.0
2026-04-20,9816.0
2026-04-22,9869.0
2026-04-23,9922.0
2026-04-24,9815.0
2026-04-27,9883.0
2026-04-28,9776.0
2026-04-29,9829.0
2026-04-30,9722.0
2026-05-04,9615.0
2026-05-05,9508.0
2026-05-06,9561.0
2026-05-07,9614.0
2026-05-08,9507.0
2026-05-11,9400.0
2026-05-12,9453.0
2026-05-13,9506.0
2026-05-14,9399.0
2026-05-15,9467.0
2026-05-18,9520.0
2026-05-19,9413.0
2026-05-20,9306.0
2026-05-21,9199.0
2026-05-22,9092.0
2026-05-25,8985.0
2026-05-26,9038.0
2026-05-27,9121.0
2026-05-28,9014.0
2026-05-29,8907.0
2026-06-01,8960.0
2026-06-02,9013.0
2026-06-03,9066.0
2026-06-05,9119.0
2026-06-08,9012.0
2026-06-09,9065.0
2026-06-10,8958.0
2026-06-11,8851.0
2026-06-12,8904.0
2026-06-15,8957.0
2026-06-16,9010.0
2026-06-17,9063.0
2026-06-18,8956.0
2026-06-19,8849.0
2026-06-22,8902.0
2026-06-23,8955.0
2026-06-24,9008.0
2026-06-25,9061.0
2026-06-26,9114.0
2026-06-29,9007.0
2026-06-30,9060.0
