trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:05:00-03:00,5543.0,ORB_SHORT,2026-02-02 09:05:00-03:00,5553.5,1.0,5553.0,5537.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9893.0,129.04999999999745,0.0
2,SHORT,2026-02-03 09:05:00-03:00,5536.5,ORB_SHORT,2026-02-03 09:10:00-03:00,5531.0,1.0,5546.5,5530.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9946.0,8.950000000004366,66.04999999999563
3,SHORT,2026-02-04 09:05:00-03:00,5535.5,ORB_SHORT,2026-02-04 09:10:00-03:00,5530.0,1.0,5545.5,5529.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9999.0,16.400000000003274,93.59999999999673
4,SHORT,2026-02-05 09:05:00-03:00,5536.0,ORB_SHORT,2026-02-05 09:10:00-03:00,5546.5,1.0,5546.0,5530.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9892.0,125.23000000000138,0.0
5,SHORT,2026-02-06 09:05:00-03:00,5519.5,ORB_SHORT,2026-02-06 09:10:00-03:00,5530.0,1.0,5529.5,5513.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9785.0,107.83999999999651,0.0
6,SHORT,2026-02-09 09:05:00-03:00,5495.0,ORB_SHORT,2026-02-09 09:10:00-03:00,5489.5,1.0,5505.0,5489.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9838.0,50.24999999999636,109.75000000000364
7,SHORT,2026-02-10 09:05:00-03:00,5476.0,ORB_SHORT,2026-02-10 09:35:00-03:00,5486.5,1.0,5486.0,5470.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:30:00,9731.0,110.65999999999804,19.340000000001965
8,SHORT,2026-02-11 09:05:00-03:00,5462.0,ORB_SHORT,2026-02-11 09:30:00-03:00,5472.5,1.0,5472.0,5456.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:25:00,9624.0,101.99999999999818,38.00000000000182
9,SHORT,2026-02-12 09:05:00-03:00,5456.5,ORB_SHORT,2026-02-12 10:35:00-03:00,5451.0,1.0,5466.5,5450.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 01:30:00,9677.0,97.13999999999942,82.86000000000058
10,LONG,2026-02-13 09:05:00-03:00,5502.0,ORB_LONG,2026-02-13 09:10:00-03:00,5510.5,1.0,5492.0,5508.0,TAKE_PROFIT,85.0,2.0,83.0,0 days 00:05:00,9760.0,12.200000000002547,102.79999999999745
11,LONG,2026-02-19 09:05:00-03:00,5531.5,ORB_LONG,2026-02-19 09:20:00-03:00,5521.0,1.0,5521.5,5537.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:15:00,9653.0,194.97000000000298,0.0
12,SHORT,2026-02-20 09:05:00-03:00,5487.5,ORB_SHORT,2026-02-20 09:45:00-03:00,5498.0,1.0,5497.5,5481.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:40:00,9546.0,111.41999999999825,43.580000000001746
13,LONG,2026-02-23 09:05:00-03:00,5459.0,ORB_LONG,2026-02-23 10:20:00-03:00,5448.5,1.0,5449.0,5465.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 01:15:00,9439.0,158.86999999999716,36.13000000000284
14,SHORT,2026-02-24 09:05:00-03:00,5435.0,ORB_SHORT,2026-02-24 09:10:00-03:00,5445.5,1.0,5445.0,5429.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9332.0,112.04999999999927,0.0
