,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9893.0
2026-02-03,10086.0
2026-02-04,10279.0
2026-02-05,10172.0
2026-02-06,10065.0
2026-02-09,10258.0
2026-02-10,10151.0
2026-02-11,10044.0
2026-02-12,10237.0
2026-02-13,10130.0
2026-02-18,10130.0
2026-02-19,10023.0
2026-02-20,9916.0
2026-02-23,9809.0
2026-02-24,9702.0
2026-02-25,9595.0
2026-02-26,9488.0
2026-02-27,9681.0
2026-03-02,9874.0
2026-03-03,9767.0
2026-03-04,9660.0
2026-03-05,9553.0
2026-03-06,9746.0
2026-03-09,9939.0
2026-03-10,10132.0
2026-03-11,10025.0
2026-03-12,9918.0
2026-03-13,9811.0
2026-03-16,9704.0
2026-03-17,9897.0
2026-03-18,10090.0
2026-03-19,9983.0
2026-03-20,9876.0
2026-03-23,9769.0
2026-03-24,9662.0
2026-03-25,9855.0
2026-03-26,9748.0
2026-03-27,9641.0
2026-03-30,9534.0
2026-03-31,9427.0
2026-04-01,9320.0
2026-04-02,9513.0
2026-04-06,9406.0
2026-04-07,9299.0
2026-04-08,9192.0
2026-04-09,9085.0
2026-04-10,9278.0
2026-04-13,9171.0
2026-04-14,9216.169999999998
2026-04-15,9364.0
2026-04-16,9257.0
2026-04-17,9450.0
2026-04-20,9343.0
2026-04-22,9236.0
2026-04-23,9429.0
2026-04-24,9322.0
2026-04-27,9264.209999999995
2026-04-28,9018.0
2026-04-29,9211.0
2026-04-30,9104.0
2026-05-04,8997.0
2026-05-05,8890.0
2026-05-06,9083.0
2026-05-07,8976.0
2026-05-08,8869.0
2026-05-11,8762.0
2026-05-12,8655.0
2026-05-13,8848.0
2026-05-14,8741.0
2026-05-15,8934.0
2026-05-18,9127.0
2026-05-19,9020.0
2026-05-20,8913.0
2026-05-21,8806.0
2026-05-22,8699.0
2026-05-25,8592.0
2026-05-26,8485.0
2026-05-27,8678.0
2026-05-28,8571.0
2026-05-29,8464.0
2026-06-01,8357.0
2026-06-02,8250.0
2026-06-03,8443.0
2026-06-05,8636.0
2026-06-08,8529.0
2026-06-09,8422.0
2026-06-10,8315.0
2026-06-11,8208.0
2026-06-12,8101.0
2026-06-15,7994.0
2026-06-16,8187.0
2026-06-17,8380.0
2026-06-18,8273.0
2026-06-19,8166.0
2026-06-22,8359.0
2026-06-23,8252.0
2026-06-24,8445.0
2026-06-25,8338.0
2026-06-26,8231.0
2026-06-29,8124.0
2026-06-30,8317.0
