trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:05:00-03:00,5543.0,ORB_SHORT,2026-02-02 09:05:00-03:00,5553.5,1.0,5553.0,5523.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9893.0,129.04999999999745,0.0
2,SHORT,2026-02-03 09:05:00-03:00,5536.5,ORB_SHORT,2026-02-03 10:45:00-03:00,5517.0,1.0,5546.5,5516.5,TAKE_PROFIT,195.0,2.0,193.0,0 days 01:40:00,10086.0,58.950000000004366,241.04999999999563
3,SHORT,2026-02-04 09:05:00-03:00,5535.5,ORB_SHORT,2026-02-04 09:45:00-03:00,5516.0,1.0,5545.5,5515.5,TAKE_PROFIT,195.0,2.0,193.0,0 days 00:40:00,10279.0,16.400000000003274,203.59999999999673
4,SHORT,2026-02-05 09:05:00-03:00,5536.0,ORB_SHORT,2026-02-05 09:10:00-03:00,5546.5,1.0,5546.0,5516.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,10172.0,125.23000000000138,0.0
5,SHORT,2026-02-06 09:05:00-03:00,5519.5,ORB_SHORT,2026-02-06 09:10:00-03:00,5530.0,1.0,5529.5,5499.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,10065.0,107.83999999999651,0.0
6,SHORT,2026-02-09 09:05:00-03:00,5495.0,ORB_SHORT,2026-02-09 11:45:00-03:00,5475.5,1.0,5505.0,5475.0,TAKE_PROFIT,195.0,2.0,193.0,0 days 02:40:00,10258.0,50.24999999999636,204.75000000000364
7,SHORT,2026-02-10 09:05:00-03:00,5476.0,ORB_SHORT,2026-02-10 09:35:00-03:00,5486.5,1.0,5486.0,5456.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:30:00,10151.0,110.65999999999804,19.340000000001965
8,SHORT,2026-02-11 09:05:00-03:00,5462.0,ORB_SHORT,2026-02-11 09:30:00-03:00,5472.5,1.0,5472.0,5442.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:25:00,10044.0,101.99999999999818,38.00000000000182
9,SHORT,2026-02-12 09:05:00-03:00,5456.5,ORB_SHORT,2026-02-12 12:15:00-03:00,5437.0,1.0,5466.5,5436.5,TAKE_PROFIT,195.0,2.0,193.0,0 days 03:10:00,10237.0,97.13999999999942,207.86000000000058
10,LONG,2026-02-13 09:05:00-03:00,5502.0,ORB_LONG,2026-02-13 10:30:00-03:00,5491.5,1.0,5492.0,5522.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 01:25:00,10130.0,182.20000000000255,102.79999999999745
