,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10053.0
2026-02-03,10141.0
2026-02-04,10194.0
2026-02-05,10087.0
2026-02-06,9980.0
2026-02-09,9980.0
2026-02-10,10033.0
2026-02-11,10033.0
2026-02-12,10086.0
2026-02-13,9979.0
2026-02-18,9979.0
2026-02-19,9872.0
2026-02-20,9872.0
2026-02-23,9925.0
2026-02-24,9988.0
2026-02-25,9988.0
2026-02-26,9881.0
2026-02-27,9774.0
2026-03-02,9667.0
2026-03-03,9667.0
2026-03-04,9560.0
2026-03-05,9453.0
2026-03-06,9453.0
2026-03-09,9346.0
2026-03-10,9346.0
2026-03-11,9414.0
2026-03-12,9307.0
2026-03-13,9360.0
2026-03-16,9253.0
2026-03-17,9253.0
2026-03-18,9146.0
2026-03-19,9039.0
2026-03-20,8932.0
2026-03-23,9020.0
2026-03-24,9103.0
2026-03-25,9103.0
2026-03-26,9103.0
2026-03-27,9103.0
2026-03-30,8996.0
2026-03-31,8996.0
2026-04-01,8996.0
2026-04-02,9049.0
2026-04-06,9049.0
2026-04-07,9049.0
2026-04-08,9049.0
2026-04-09,9102.0
2026-04-10,9155.0
2026-04-13,9048.0
2026-04-14,9048.0
2026-04-15,8941.0
2026-04-16,8994.0
2026-04-17,8994.0
2026-04-20,9047.0
2026-04-22,8940.0
2026-04-23,8993.0
2026-04-24,8886.0
2026-04-27,8886.0
2026-04-28,8939.0
2026-04-29,8939.0
2026-04-30,8992.0
2026-05-04,9045.0
2026-05-05,9045.0
2026-05-06,9045.0
2026-05-07,9098.0
2026-05-08,9151.0
2026-05-11,9204.0
2026-05-12,9097.0
2026-05-13,9097.0
2026-05-14,9150.0
2026-05-15,9203.0
2026-05-18,9096.0
2026-05-19,9149.0
2026-05-20,9202.0
2026-05-21,9095.0
2026-05-22,8988.0
2026-05-25,8881.0
2026-05-26,8881.0
2026-05-27,8881.0
2026-05-28,8881.0
2026-05-29,8934.0
2026-06-01,8827.0
2026-06-02,8827.0
2026-06-03,8720.0
2026-06-05,8773.0
2026-06-08,8826.0
2026-06-09,8879.0
2026-06-10,8879.0
2026-06-11,8932.0
2026-06-12,8985.0
2026-06-15,8985.0
2026-06-16,9038.0
2026-06-17,9091.0
2026-06-18,9091.0
2026-06-19,8984.0
2026-06-22,9037.0
2026-06-23,9037.0
2026-06-24,9037.0
2026-06-25,9090.0
2026-06-26,8983.0
2026-06-29,9036.0
2026-06-30,9089.0
