trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:15:00-03:00,5552.0,P2_HIGH,2026-02-02 09:20:00-03:00,5546.5,1.0,5562.0,5546.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10053.0,59.04999999999745,60.95000000000255
2,SHORT,2026-02-03 09:00:00-03:00,5546.5,P1_EMA,2026-02-03 09:05:00-03:00,5537.5,1.0,5556.5,5540.5,TAKE_PROFIT,90.0,2.0,88.0,0 days 00:05:00,10141.0,5.739999999996144,161.04999999999563
3,SHORT,2026-02-04 09:00:00-03:00,5536.0,P1_EMA,2026-02-04 09:10:00-03:00,5530.5,1.0,5546.0,5530.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,10194.0,21.400000000003274,98.59999999999673
4,SHORT,2026-02-05 09:10:00-03:00,5542.0,P2_HIGH,2026-02-05 09:15:00-03:00,5552.5,1.0,5552.0,5536.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,10087.0,100.23000000000138,0.0
5,SHORT,2026-02-06 09:10:00-03:00,5525.0,P2_HIGH,2026-02-06 09:55:00-03:00,5535.5,1.0,5535.0,5519.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:45:00,9980.0,167.8399999999965,57.16000000000349
6,SHORT,2026-02-10 09:10:00-03:00,5481.5,P2_HIGH,2026-02-10 09:15:00-03:00,5476.0,1.0,5491.5,5475.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10033.0,5.6599999999980355,74.34000000000196
7,SHORT,2026-02-12 09:10:00-03:00,5458.0,P2_HIGH,2026-02-12 10:35:00-03:00,5452.5,1.0,5468.0,5452.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 01:25:00,10086.0,82.13999999999942,97.86000000000058
8,SHORT,2026-02-13 09:00:00-03:00,5501.0,P3_LIMIT,2026-02-13 09:05:00-03:00,5511.5,1.0,5511.0,5495.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9979.0,102.79999999999745,2.2000000000025466
9,SHORT,2026-02-19 09:00:00-03:00,5520.5,P3_STOP,2026-02-19 09:00:00-03:00,5531.0,1.0,5530.5,5514.5,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9872.0,125.02999999999702,0.0
10,SHORT,2026-02-23 09:15:00-03:00,5458.0,P2_HIGH,2026-02-23 09:30:00-03:00,5452.5,1.0,5468.0,5452.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:15:00,9925.0,46.13000000000284,78.86999999999716
11,SHORT,2026-02-24 09:00:00-03:00,5442.5,P1_EMA,2026-02-24 09:05:00-03:00,5436.0,1.0,5452.5,5436.5,TAKE_PROFIT,65.0,2.0,63.0,0 days 00:05:00,9988.0,57.04999999999927,72.95000000000073
12,SHORT,2026-02-26 09:05:00-03:00,5396.0,P2_HIGH,2026-02-26 09:45:00-03:00,5406.5,1.0,5406.0,5390.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:40:00,9881.0,101.81999999999789,53.18000000000211
13,SHORT,2026-02-27 09:00:00-03:00,5403.5,P1_EMA,2026-02-27 09:10:00-03:00,5414.0,1.0,5413.5,5397.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:10:00,9774.0,113.81000000000313,0.0
14,SHORT,2026-03-02 09:05:00-03:00,5418.5,P2_HIGH,2026-03-02 09:15:00-03:00,5429.0,1.0,5428.5,5412.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:10:00,9667.0,301.7900000000009,0.0
15,LONG,2026-03-04 09:00:00-03:00,5507.0,P1_EMA,2026-03-04 09:00:00-03:00,5496.5,1.0,5497.0,5513.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9560.0,129.2699999999968,0.0
16,LONG,2026-03-05 09:10:00-03:00,5512.0,P2_LOW,2026-03-05 09:15:00-03:00,5501.5,1.0,5502.0,5518.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9453.0,117.03000000000429,0.0
17,LONG,2026-03-09 09:05:00-03:00,5529.5,P2_LOW,2026-03-09 09:05:00-03:00,5519.0,1.0,5519.5,5535.5,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9346.0,137.79999999999745,0.0
18,SHORT,2026-03-11 09:00:00-03:00,5415.0,P1_EMA,2026-03-11 09:05:00-03:00,5408.0,1.0,5425.0,5409.0,TAKE_PROFIT,70.0,2.0,68.0,0 days 00:05:00,9414.0,10.180000000000291,164.8199999999997
