,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10053.0
2026-02-03,10141.0
2026-02-04,10194.0
2026-02-05,10247.0
2026-02-06,10305.0
2026-02-09,10305.0
2026-02-10,10358.0
2026-02-11,10358.0
2026-02-12,10411.0
2026-02-13,10411.0
2026-02-18,10411.0
2026-02-19,10411.0
2026-02-20,10464.0
2026-02-23,10517.0
2026-02-24,10580.0
2026-02-25,10473.0
2026-02-26,10366.0
2026-02-27,10259.0
2026-03-02,10397.0
2026-03-03,10450.0
2026-03-04,10608.0
2026-03-05,10501.0
2026-03-06,10609.0
2026-03-09,10502.0
2026-03-10,10502.0
2026-03-11,10570.0
2026-03-12,10623.0
2026-03-13,10676.0
2026-03-16,10569.0
2026-03-17,10569.0
2026-03-18,10462.0
2026-03-19,10355.0
2026-03-20,10248.0
2026-03-23,10336.0
2026-03-24,10229.0
2026-03-25,10229.0
2026-03-26,10282.0
2026-03-27,10282.0
2026-03-30,10175.0
2026-03-31,10175.0
2026-04-01,10068.0
2026-04-02,10121.0
2026-04-06,10121.0
2026-04-07,10121.0
2026-04-08,10014.0
2026-04-09,10067.0
2026-04-10,9960.0
2026-04-13,9853.0
2026-04-14,9906.0
2026-04-15,9906.0
2026-04-16,9906.0
2026-04-17,9906.0
2026-04-20,9959.0
2026-04-22,9852.0
2026-04-23,9905.0
2026-04-24,9958.0
2026-04-27,9958.0
2026-04-28,10011.0
2026-04-29,10011.0
2026-04-30,10064.0
2026-05-04,10117.0
2026-05-05,10010.0
2026-05-06,10010.0
2026-05-07,10063.0
2026-05-08,9956.0
2026-05-11,10009.0
2026-05-12,10009.0
2026-05-13,10009.0
2026-05-14,10062.0
2026-05-15,9955.0
2026-05-18,9848.0
2026-05-19,9901.0
2026-05-20,9954.0
2026-05-21,9847.0
2026-05-22,9740.0
2026-05-25,9633.0
2026-05-26,9633.0
2026-05-27,9633.0
2026-05-28,9633.0
2026-05-29,9686.0
2026-06-01,9686.0
2026-06-02,9686.0
2026-06-03,9579.0
2026-06-05,9632.0
2026-06-08,9685.0
2026-06-09,9738.0
2026-06-10,9738.0
2026-06-11,9821.0
2026-06-12,9821.0
2026-06-15,9874.0
2026-06-16,9927.0
2026-06-17,9927.0
2026-06-18,9927.0
2026-06-19,9980.0
2026-06-22,10033.0
2026-06-23,10086.0
2026-06-24,10086.0
2026-06-25,9979.0
2026-06-26,9872.0
2026-06-29,9925.0
2026-06-30,9818.0
