,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10000.0
2026-02-04,10000.0
2026-02-05,10000.0
2026-02-06,10000.0
2026-02-09,10000.0
2026-02-10,10000.0
2026-02-11,10000.0
2026-02-12,10000.0
2026-02-13,10000.0
2026-02-18,10000.0
2026-02-19,10000.0
2026-02-20,10000.0
2026-02-23,10053.0
2026-02-24,10116.0
2026-02-25,10116.0
2026-02-26,10009.0
2026-02-27,10009.0
2026-03-02,10147.0
2026-03-03,10200.0
2026-03-04,10358.0
2026-03-05,10251.0
2026-03-06,10359.0
2026-03-09,10252.0
2026-03-10,10252.0
2026-03-11,10320.0
2026-03-12,10320.0
2026-03-13,10373.0
2026-03-16,10266.0
2026-03-17,10266.0
2026-03-18,10159.0
2026-03-19,10052.0
2026-03-20,9945.0
2026-03-23,10033.0
2026-03-24,9926.0
2026-03-25,9926.0
2026-03-26,9926.0
2026-03-27,9926.0
2026-03-30,9926.0
2026-03-31,9926.0
2026-04-01,9926.0
2026-04-02,9926.0
2026-04-06,9926.0
2026-04-07,9926.0
2026-04-08,9926.0
2026-04-09,9926.0
2026-04-10,9926.0
2026-04-13,9819.0
2026-04-14,9819.0
2026-04-15,9819.0
2026-04-16,9819.0
2026-04-17,9819.0
2026-04-20,9819.0
2026-04-22,9819.0
2026-04-23,9819.0
2026-04-24,9872.0
2026-04-27,9872.0
2026-04-28,9872.0
2026-04-29,9872.0
2026-04-30,9872.0
2026-05-04,9925.0
2026-05-05,9925.0
2026-05-06,9925.0
2026-05-07,9978.0
2026-05-08,9978.0
2026-05-11,9978.0
2026-05-12,9978.0
2026-05-13,9978.0
2026-05-14,10031.0
2026-05-15,9924.0
2026-05-18,9817.0
2026-05-19,9870.0
2026-05-20,9923.0
2026-05-21,9816.0
2026-05-22,9816.0
2026-05-25,9709.0
2026-05-26,9709.0
2026-05-27,9709.0
2026-05-28,9709.0
2026-05-29,9762.0
2026-06-01,9762.0
2026-06-02,9762.0
2026-06-03,9762.0
2026-06-05,9815.0
2026-06-08,9868.0
2026-06-09,9921.0
2026-06-10,9921.0
2026-06-11,9921.0
2026-06-12,9921.0
2026-06-15,9974.0
2026-06-16,9974.0
2026-06-17,9974.0
2026-06-18,9974.0
2026-06-19,10027.0
2026-06-22,10027.0
2026-06-23,10027.0
2026-06-24,10027.0
2026-06-25,10027.0
2026-06-26,9920.0
2026-06-29,9920.0
2026-06-30,9920.0
