trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,LONG,2026-02-23 09:15:00-03:00,5455.0,P2_AMBIGUOUS_LOW_FIRST,2026-02-23 09:25:00-03:00,5460.5,1.0,5445.0,5461.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,10053.0,3.8699999999971624,76.13000000000284
2,SHORT,2026-02-24 09:00:00-03:00,5442.5,P1_EMA,2026-02-24 09:05:00-03:00,5436.0,1.0,5452.5,5436.5,TAKE_PROFIT,65.0,2.0,63.0,0 days 00:05:00,10116.0,57.04999999999927,72.95000000000073
3,SHORT,2026-02-26 09:05:00-03:00,5396.0,P2_HIGH,2026-02-26 09:45:00-03:00,5406.5,1.0,5406.0,5390.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:40:00,10009.0,101.81999999999789,53.18000000000211
4,LONG,2026-03-02 09:00:00-03:00,5404.0,P1_EMA,2026-03-02 09:05:00-03:00,5418.0,1.0,5394.0,5410.0,TAKE_PROFIT,140.0,2.0,138.0,0 days 00:05:00,10147.0,58.20999999999913,196.79000000000087
5,SHORT,2026-03-03 09:05:00-03:00,5515.0,P4_RSI,2026-03-03 09:10:00-03:00,5509.5,1.0,5525.0,5509.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10200.0,38.94000000000233,166.05999999999767
6,SHORT,2026-03-04 09:00:00-03:00,5515.0,P1_EMA_DOUBLE,2026-03-04 09:05:00-03:00,5499.0,1.0,5525.0,5509.0,TAKE_PROFIT,160.0,2.0,158.0,0 days 00:05:00,10358.0,45.7300000000032,259.2699999999968
7,LONG,2026-03-05 09:10:00-03:00,5512.0,P2_LOW,2026-03-05 09:15:00-03:00,5501.5,1.0,5502.0,5518.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,10251.0,117.03000000000429,0.0
8,SHORT,2026-03-06 09:10:00-03:00,5573.0,P4_RSI,2026-03-06 09:15:00-03:00,5562.0,1.0,5583.0,5567.0,TAKE_PROFIT,110.0,2.0,108.0,0 days 00:05:00,10359.0,35.56999999999789,219.4300000000021
9,LONG,2026-03-09 09:05:00-03:00,5529.5,P2_LOW,2026-03-09 09:05:00-03:00,5519.0,1.0,5519.5,5535.5,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,10252.0,137.79999999999745,0.0
10,SHORT,2026-03-11 09:00:00-03:00,5415.0,P1_EMA,2026-03-11 09:05:00-03:00,5408.0,1.0,5425.0,5409.0,TAKE_PROFIT,70.0,2.0,68.0,0 days 00:05:00,10320.0,10.180000000000291,164.8199999999997
11,LONG,2026-03-13 09:00:00-03:00,5478.0,P1_EMA,2026-03-13 09:20:00-03:00,5483.5,1.0,5468.0,5484.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:20:00,10373.0,67.21999999999753,112.78000000000247
12,LONG,2026-03-16 09:00:00-03:00,5528.0,P1_EMA,2026-03-16 09:00:00-03:00,5517.5,1.0,5518.0,5534.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,10266.0,178.75,0.0
13,SHORT,2026-03-18 09:05:00-03:00,5433.0,P2_HIGH,2026-03-18 09:10:00-03:00,5443.5,1.0,5443.0,5427.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,10159.0,111.13000000000284,0.0
14,SHORT,2026-03-19 09:00:00-03:00,5479.0,P1_EMA,2026-03-19 09:00:00-03:00,5489.5,1.0,5489.0,5473.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,10052.0,287.56999999999607,0.0
15,LONG,2026-03-20 09:00:00-03:00,5480.5,P1_EMA,2026-03-20 09:10:00-03:00,5470.0,1.0,5470.5,5486.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:10:00,9945.0,114.12999999999556,20.87000000000444
16,LONG,2026-03-23 09:00:00-03:00,5521.5,P1_EMA,2026-03-23 09:05:00-03:00,5530.5,1.0,5511.5,5527.5,TAKE_PROFIT,90.0,2.0,88.0,0 days 00:05:00,10033.0,25.659999999998035,269.34000000000196
17,SHORT,2026-03-24 09:00:00-03:00,5485.5,P1_EMA_DOUBLE,2026-03-24 09:00:00-03:00,5496.0,1.0,5495.5,5479.5,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9926.0,102.78000000000247,0.0
18,SHORT,2026-04-13 09:00:00-03:00,5235.0,P1_EMA,2026-04-13 09:00:00-03:00,5245.5,1.0,5245.0,5229.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9819.0,100.63000000000102,0.0
19,LONG,2026-04-24 09:05:00-03:00,5188.5,P2_LOW,2026-04-24 09:15:00-03:00,5194.0,1.0,5178.5,5194.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,9872.0,43.07999999999993,61.92000000000007
20,SHORT,2026-05-04 09:10:00-03:00,5145.0,P2_HIGH,2026-05-04 09:15:00-03:00,5139.5,1.0,5155.0,5139.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9925.0,25.529999999998836,119.47000000000116
21,SHORT,2026-05-07 09:05:00-03:00,5083.5,P2_HIGH,2026-05-07 09:40:00-03:00,5078.0,1.0,5093.5,5077.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:35:00,9978.0,81.5099999999984,73.4900000000016
22,LONG,2026-05-14 09:00:00-03:00,5162.5,P1_EMA,2026-05-14 09:05:00-03:00,5168.0,1.0,5152.5,5168.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10031.0,72.71999999999935,87.28000000000065
23,SHORT,2026-05-15 09:05:00-03:00,5191.0,P2_HIGH,2026-05-15 09:10:00-03:00,5201.5,1.0,5201.0,5185.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9924.0,168.29999999999927,0.0
24,LONG,2026-05-18 09:00:00-03:00,5212.0,P1_EMA,2026-05-18 09:05:00-03:00,5201.5,1.0,5202.0,5218.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9817.0,114.58999999999833,0.0
25,LONG,2026-05-19 09:00:00-03:00,5178.0,P1_EMA,2026-05-19 09:05:00-03:00,5183.5,1.0,5168.0,5184.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9870.0,32.87000000000262,77.12999999999738
26,SHORT,2026-05-20 09:00:00-03:00,5190.0,P1_EMA,2026-05-20 09:05:00-03:00,5184.5,1.0,5200.0,5184.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9923.0,28.450000000002547,61.54999999999745
27,LONG,2026-05-21 09:00:00-03:00,5174.0,P1_EMA,2026-05-21 09:00:00-03:00,5163.5,1.0,5164.0,5180.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9816.0,116.49000000000342,0.0
28,LONG,2026-05-25 09:00:00-03:00,5164.0,P1_EMA,2026-05-25 09:00:00-03:00,5153.5,1.0,5154.0,5170.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9709.0,143.6700000000019,0.0
29,SHORT,2026-05-29 09:00:00-03:00,5190.0,P1_EMA,2026-05-29 09:25:00-03:00,5184.5,1.0,5200.0,5184.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:25:00,9762.0,77.38999999999578,82.61000000000422
30,LONG,2026-06-05 09:00:00-03:00,5195.5,P1_EMA,2026-06-05 09:05:00-03:00,5201.0,1.0,5185.5,5201.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9815.0,14.18999999999869,65.81000000000131
31,LONG,2026-06-08 09:10:00-03:00,5283.0,P2_LOW,2026-06-08 09:15:00-03:00,5288.5,1.0,5273.0,5289.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9868.0,19.25000000000182,135.74999999999818
32,LONG,2026-06-09 09:00:00-03:00,5304.0,P1_EMA,2026-06-09 09:10:00-03:00,5309.5,1.0,5294.0,5310.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,9921.0,61.779999999998836,63.220000000001164
33,LONG,2026-06-15 09:05:00-03:00,5175.0,P4_RSI,2026-06-15 09:15:00-03:00,5180.5,1.0,5165.0,5181.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,9974.0,61.36999999999716,108.63000000000284
34,SHORT,2026-06-19 09:05:00-03:00,5288.0,P2_HIGH,2026-06-19 09:15:00-03:00,5282.5,1.0,5298.0,5282.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,10027.0,19.04000000000451,70.95999999999549
35,LONG,2026-06-26 09:00:00-03:00,5303.0,P1_EMA_DOUBLE,2026-06-26 09:00:00-03:00,5292.5,1.0,5293.0,5309.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9920.0,143.0699999999979,0.0
