,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10000.0
2026-02-04,10000.0
2026-02-05,10000.0
2026-02-06,10000.0
2026-02-09,10000.0
2026-02-10,10000.0
2026-02-11,10000.0
2026-02-12,10000.0
2026-02-13,10000.0
2026-02-18,10000.0
2026-02-19,10000.0
2026-02-20,10053.0
2026-02-23,10053.0
2026-02-24,10053.0
2026-02-25,9946.0
2026-02-26,9946.0
2026-02-27,9946.0
2026-03-02,9946.0
2026-03-03,9839.0
2026-03-04,9839.0
2026-03-05,9839.0
2026-03-06,9892.0
2026-03-09,9892.0
2026-03-10,9892.0
2026-03-11,9892.0
2026-03-12,9892.0
2026-03-13,9892.0
2026-03-16,9892.0
2026-03-17,9892.0
2026-03-18,9892.0
2026-03-19,9892.0
2026-03-20,9892.0
2026-03-23,9892.0
2026-03-24,9892.0
2026-03-25,9945.0
2026-03-26,9838.0
2026-03-27,9731.0
2026-03-30,9731.0
2026-03-31,9731.0
2026-04-01,9784.0
2026-04-02,9837.0
2026-04-06,9837.0
2026-04-07,9837.0
2026-04-08,9730.0
2026-04-09,9730.0
2026-04-10,9730.0
2026-04-13,9730.0
2026-04-14,9783.0
2026-04-15,9783.0
2026-04-16,9783.0
2026-04-17,9783.0
2026-04-20,9783.0
2026-04-22,9783.0
2026-04-23,9783.0
2026-04-24,9783.0
2026-04-27,9783.0
2026-04-28,9676.0
2026-04-29,9676.0
2026-04-30,9676.0
2026-05-04,9676.0
2026-05-05,9569.0
2026-05-06,9737.0
2026-05-07,9737.0
2026-05-08,9737.0
2026-05-11,9737.0
2026-05-12,9737.0
2026-05-13,9737.0
2026-05-14,9737.0
2026-05-15,9737.0
2026-05-18,9737.0
2026-05-19,9737.0
2026-05-20,9737.0
2026-05-21,9737.0
2026-05-22,9737.0
2026-05-25,9737.0
2026-05-26,9737.0
2026-05-27,9737.0
2026-05-28,9737.0
2026-05-29,9737.0
2026-06-01,9737.0
2026-06-02,9737.0
2026-06-03,9737.0
2026-06-05,9737.0
2026-06-08,9737.0
2026-06-09,9737.0
2026-06-10,9737.0
2026-06-11,9737.0
2026-06-12,9737.0
2026-06-15,9830.0
2026-06-16,9830.0
2026-06-17,9830.0
2026-06-18,9723.0
2026-06-19,9723.0
2026-06-22,9723.0
2026-06-23,9776.0
2026-06-24,9776.0
2026-06-25,9776.0
2026-06-26,9776.0
2026-06-29,9776.0
2026-06-30,9776.0
