trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,LONG,2026-02-20 09:00:00-03:00,5489.0,OUTSIDE_FADE,2026-02-20 09:30:00-03:00,5494.5,1.0,5479.0,5495.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:30:00,10053.0,78.58000000000175,66.41999999999825
2,LONG,2026-02-25 09:00:00-03:00,5406.5,OUTSIDE_FADE,2026-02-25 09:05:00-03:00,5396.0,1.0,5396.5,5412.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9946.0,233.09000000000196,0.0
3,SHORT,2026-03-03 09:00:00-03:00,5500.5,OUTSIDE_FADE,2026-03-03 09:00:00-03:00,5511.0,1.0,5510.5,5494.5,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9839.0,263.9400000000023,0.0
4,SHORT,2026-03-06 09:00:00-03:00,5575.5,OUTSIDE_FADE,2026-03-06 09:05:00-03:00,5570.0,1.0,5585.5,5569.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9892.0,40.56999999999789,89.43000000000211
5,LONG,2026-03-25 09:00:00-03:00,5442.0,OUTSIDE_FADE,2026-03-25 09:05:00-03:00,5447.5,1.0,5432.0,5448.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9945.0,13.99000000000342,81.00999999999658
6,SHORT,2026-03-26 09:00:00-03:00,5479.0,OUTSIDE_FADE,2026-03-26 09:00:00-03:00,5489.5,1.0,5489.0,5473.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9838.0,135.33000000000357,0.0
7,SHORT,2026-03-27 09:00:00-03:00,5492.0,OUTSIDE_FADE,2026-03-27 09:00:00-03:00,5502.5,1.0,5502.0,5486.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9731.0,115.96999999999753,0.0
8,LONG,2026-04-01 09:00:00-03:00,5378.0,OUTSIDE_FADE,2026-04-01 09:05:00-03:00,5383.5,1.0,5368.0,5384.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9784.0,30.029999999997017,80.33000000000357
9,SHORT,2026-04-02 09:00:00-03:00,5410.5,OUTSIDE_FADE,2026-04-02 09:05:00-03:00,5405.0,1.0,5420.5,5404.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9837.0,59.030000000002474,105.96999999999753
10,LONG,2026-04-08 09:00:00-03:00,5305.0,OUTSIDE_FADE,2026-04-08 09:05:00-03:00,5294.5,1.0,5295.0,5311.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9730.0,237.07000000000335,12.929999999996653
11,LONG,2026-04-14 09:00:00-03:00,5174.5,OUTSIDE_FADE,2026-04-14 09:05:00-03:00,5180.0,1.0,5164.5,5180.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,9783.0,14.830000000001746,85.16999999999825
12,SHORT,2026-04-28 09:00:00-03:00,5181.5,OUTSIDE_FADE,2026-04-28 09:00:00-03:00,5192.0,1.0,5191.5,5175.5,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9676.0,134.54999999999927,0.0
13,LONG,2026-05-05 09:00:00-03:00,5125.5,OUTSIDE_FADE,2026-05-05 09:25:00-03:00,5115.0,1.0,5115.5,5131.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:25:00,9569.0,119.12000000000262,40.87999999999738
14,LONG,2026-05-06 09:00:00-03:00,5058.0,OUTSIDE_FADE,2026-05-06 09:05:00-03:00,5075.0,1.0,5048.0,5064.0,TAKE_PROFIT,170.0,2.0,168.0,0 days 00:05:00,9737.0,13.419999999996435,277.6000000000022
15,LONG,2026-06-15 09:00:00-03:00,5164.5,OUTSIDE_FADE,2026-06-15 09:05:00-03:00,5174.0,1.0,5154.5,5170.5,TAKE_PROFIT,95.0,2.0,93.0,0 days 00:05:00,9830.0,51.36999999999716,138.63000000000284
16,SHORT,2026-06-18 09:00:00-03:00,5259.0,OUTSIDE_FADE,2026-06-18 09:00:00-03:00,5269.5,1.0,5269.0,5253.0,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9723.0,179.97000000000298,0.0
17,SHORT,2026-06-23 09:00:00-03:00,5297.0,OUTSIDE_FADE,2026-06-23 09:10:00-03:00,5291.5,1.0,5307.0,5291.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,9776.0,37.13999999999942,67.86000000000058
