,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10053.0
2026-02-04,10121.0
2026-02-05,10174.0
2026-02-06,10227.0
2026-02-09,10166.750000000004
2026-02-10,10060.659999999998
2026-02-11,10021.000000000002
2026-02-12,9959.0
2026-02-13,9852.0
2026-02-18,9852.0
2026-02-19,9905.0
2026-02-20,9878.580000000002
2026-02-23,9851.0
2026-02-24,9813.05
2026-02-25,9617.090000000002
2026-02-26,9508.819999999998
2026-02-27,9613.0
2026-03-02,9579.79
2026-03-03,10279.0
2026-03-04,10172.0
2026-03-05,10065.0
2026-03-06,9958.0
2026-03-09,10011.0
2026-03-10,10064.0
2026-03-11,10083.82
2026-03-12,10010.0
2026-03-13,9903.0
2026-03-16,9901.75
2026-03-17,9949.909999999996
2026-03-18,10067.0
2026-03-19,10089.569999999996
2026-03-20,10343.0
2026-03-23,10358.659999999998
2026-03-24,10049.0
2026-03-25,9942.0
2026-03-26,9835.0
2026-03-27,9830.969999999998
2026-03-30,9699.779999999999
2026-03-31,10004.0
2026-04-01,9978.669999999996
2026-04-02,9626.030000000002
2026-04-06,9512.219999999998
2026-04-07,9502.669999999996
2026-04-08,8868.070000000003
2026-04-09,8935.949999999997
2026-04-10,9040.0
2026-04-13,9015.630000000001
2026-04-14,8781.0
2026-04-15,8752.009999999997
2026-04-16,8689.27
2026-04-17,8761.11
2026-04-20,8698.0
2026-04-22,8591.0
2026-04-23,8484.0
2026-04-24,8537.0
2026-04-27,8544.209999999995
2026-04-28,8379.55
2026-04-29,8351.0
2026-04-30,8404.0
2026-05-04,8457.0
2026-05-05,8496.120000000003
2026-05-06,8777.399999999998
2026-05-07,8836.0
2026-05-08,8861.730000000003
2026-05-11,8678.189999999999
2026-05-12,8768.360000000004
2026-05-13,8748.0
2026-05-14,8700.72
2026-05-15,8244.0
2026-05-18,8297.0
2026-05-19,8350.0
2026-05-20,8403.0
2026-05-21,8456.0
2026-05-22,8509.0
2026-05-25,8562.0
2026-05-26,8522.469999999996
2026-05-27,8442.14
2026-05-28,8401.0
2026-05-29,8373.610000000004
2026-06-01,8422.360000000002
2026-06-02,8498.149999999998
2026-06-03,8488.0
2026-06-05,8381.0
2026-06-08,8274.0
2026-06-09,8327.0
2026-06-10,8380.0
2026-06-11,8433.0
2026-06-12,8411.21
2026-06-15,8169.0
2026-06-16,8172.360000000002
2026-06-17,8115.0
2026-06-18,8079.970000000003
2026-06-19,8028.9599999999955
2026-06-22,8078.7800000000025
2026-06-23,7741.139999999999
2026-06-24,7715.0
2026-06-25,7732.290000000003
2026-06-26,7726.069999999998
2026-06-29,7763.7800000000025
2026-06-30,7669.150000000003
