trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-03 17:30:00-03:00,5544.0,LATE_MOM,2026-02-03 17:35:00-03:00,5538.5,1.0,5554.0,5538.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:05:00,10053.0,8.950000000004366,81.04999999999563
2,SHORT,2026-02-04 17:30:00-03:00,5542.5,LATE_MOM,2026-02-04 17:35:00-03:00,5535.5,1.0,5552.5,5536.5,TAKE_PROFIT,70.0,2.0,68.0,0 days 00:05:00,10121.0,6.400000000003274,78.59999999999673
3,LONG,2026-02-05 17:30:00-03:00,5558.5,LATE_MOM,2026-02-05 17:50:00-03:00,5564.0,1.0,5548.5,5564.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:20:00,10174.0,24.769999999998618,85.23000000000138
4,SHORT,2026-02-06 17:30:00-03:00,5511.5,LATE_MOM,2026-02-06 18:25:00-03:00,5506.0,1.0,5521.5,5505.5,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:55:00,10227.0,47.83999999999651,82.16000000000349
5,SHORT,2026-02-09 17:30:00-03:00,5477.5,LATE_MOM,2026-02-10 09:40:00-03:00,5488.0,1.0,5487.5,5471.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 16:10:00,10120.0,120.65999999999804,34.340000000001965
6,LONG,2026-02-10 17:30:00-03:00,5482.0,LATE_MOM,2026-02-11 09:00:00-03:00,5469.5,1.0,5472.0,5488.0,STOP_LOSS,-125.0,2.0,-127.0,0 days 15:30:00,9993.0,223.00000000000182,5.6599999999980355
7,SHORT,2026-02-11 17:30:00-03:00,5467.0,LATE_MOM,2026-02-12 09:00:00-03:00,5459.5,1.0,5477.0,5461.0,TAKE_PROFIT,75.0,2.0,73.0,0 days 15:30:00,10066.0,11.999999999998181,167.86000000000058
8,SHORT,2026-02-12 17:30:00-03:00,5485.0,LATE_MOM,2026-02-12 17:55:00-03:00,5495.5,1.0,5495.0,5479.0,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:25:00,9959.0,162.13999999999942,12.860000000000582
9,LONG,2026-02-13 17:30:00-03:00,5509.5,LATE_MOM,2026-02-13 18:15:00-03:00,5499.0,1.0,5499.5,5515.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:45:00,9852.0,107.20000000000255,0.0
10,SHORT,2026-02-19 17:30:00-03:00,5504.0,LATE_MOM,2026-02-19 17:40:00-03:00,5498.5,1.0,5514.0,5498.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:10:00,9905.0,10.029999999997017,84.97000000000298
11,SHORT,2026-02-20 17:30:00-03:00,5449.0,LATE_MOM,2026-02-23 09:00:00-03:00,5459.5,1.0,5459.0,5443.0,STOP_LOSS,-105.0,2.0,-107.0,2 days 15:30:00,9798.0,108.42999999999847,38.580000000001746
12,LONG,2026-02-23 17:30:00-03:00,5438.0,LATE_MOM,2026-02-23 18:20:00-03:00,5443.5,1.0,5428.0,5444.0,TAKE_PROFIT,55.0,2.0,53.0,0 days 00:50:00,9851.0,23.869999999997162,66.13000000000284
13,LONG,2026-02-24 17:30:00-03:00,5429.0,LATE_MOM,2026-02-25 09:00:00-03:00,5405.5,1.0,5419.0,5435.0,STOP_LOSS,-235.0,2.0,-237.0,0 days 15:30:00,9614.0,278.09000000000196,22.049999999999272
14,SHORT,2026-02-25 17:30:00-03:00,5390.5,LATE_MOM,2026-02-26 09:35:00-03:00,5401.0,1.0,5400.5,5384.5,STOP_LOSS,-105.0,2.0,-107.0,0 days 16:05:00,9507.0,126.81999999999789,48.090000000001965
