,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9853.0
2026-02-03,9796.0
2026-02-04,9894.0
2026-02-05,9762.0
2026-02-06,9625.0
2026-02-09,9608.0
2026-02-10,9526.0
2026-02-11,9484.0
2026-02-12,9417.0
2026-02-13,9350.0
2026-02-18,9350.0
2026-02-19,9198.0
2026-02-20,9121.0
2026-02-23,9014.0
2026-02-24,8877.0
2026-02-25,8925.0
2026-02-26,8903.0
2026-02-27,8821.0
2026-03-02,8974.0
2026-03-03,8772.0
2026-03-04,8915.0
2026-03-05,8748.0
2026-03-06,9026.0
2026-03-09,9459.0
2026-03-10,9322.0
2026-03-11,9225.0
2026-03-12,9263.0
2026-03-13,9136.0
2026-03-16,9004.0
2026-03-17,9187.0
2026-03-18,9370.0
2026-03-19,9633.0
2026-03-20,9461.0
2026-03-23,9414.0
2026-03-24,9312.0
2026-03-25,9400.0
2026-03-26,9338.0
2026-03-27,9231.0
2026-03-30,9069.0
2026-03-31,8977.0
2026-04-01,8970.0
2026-04-02,8943.0
2026-04-06,8881.0
2026-04-07,8824.0
2026-04-08,8802.0
2026-04-09,8740.0
2026-04-10,9083.0
2026-04-13,8906.0
2026-04-14,8864.0
2026-04-15,8797.0
2026-04-16,8755.0
2026-04-17,8928.0
2026-04-20,8871.0
2026-04-22,8949.0
2026-04-23,8912.0
2026-04-24,8720.0
2026-04-27,8713.0
2026-04-28,8656.0
2026-04-29,8739.0
2026-04-30,8642.0
2026-05-04,8535.0
2026-05-05,8458.0
2026-05-06,8556.0
2026-05-07,8499.0
2026-05-08,8412.0
2026-05-11,8355.0
2026-05-12,8298.0
2026-05-13,8316.0
2026-05-14,8384.0
2026-05-15,8747.0
2026-05-18,9210.0
2026-05-19,9108.0
2026-05-20,8976.0
2026-05-21,9079.0
2026-05-22,8967.0
2026-05-25,8875.0
2026-05-26,8978.0
2026-05-27,9016.0
2026-05-28,8909.0
2026-05-29,8772.0
2026-06-01,8785.0
2026-06-02,8773.0
2026-06-03,8741.0
2026-06-05,9469.0
2026-06-08,9272.0
2026-06-09,9205.0
2026-06-10,9088.0
2026-06-11,9016.0
2026-06-12,8919.0
2026-06-15,8902.0
2026-06-16,8820.0
2026-06-17,9018.0
2026-06-18,8841.0
2026-06-19,8709.0
2026-06-22,8692.0
2026-06-23,8720.0
2026-06-24,8923.0
2026-06-25,8956.0
2026-06-26,8924.0
2026-06-29,8842.0
2026-06-30,9010.0
