,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9893.0
2026-02-03,9851.0
2026-02-04,9999.0
2026-02-05,9892.0
2026-02-06,9785.0
2026-02-09,9793.0
2026-02-10,9706.0
2026-02-11,9639.0
2026-02-12,9562.0
2026-02-13,9555.0
2026-02-18,9555.0
2026-02-19,9448.0
2026-02-20,9386.0
2026-02-23,9314.0
2026-02-24,9207.0
2026-02-25,9260.0
2026-02-26,9263.0
2026-02-27,9196.0
2026-03-02,9384.0
2026-03-03,9277.0
2026-03-04,9270.0
2026-03-05,9163.0
2026-03-06,9261.0
2026-03-09,9444.0
2026-03-10,9452.0
2026-03-11,9400.0
2026-03-12,9428.0
2026-03-13,9361.0
2026-03-16,9374.0
2026-03-17,9612.0
2026-03-18,9860.0
2026-03-19,9753.0
2026-03-20,9771.0
2026-03-23,9854.0
2026-03-24,9862.0
2026-03-25,9985.0
2026-03-26,9933.0
2026-03-27,9826.0
2026-03-30,9719.0
2026-03-31,9627.0
2026-04-01,9520.0
2026-04-02,9563.0
2026-04-06,9546.0
2026-04-07,9439.0
2026-04-08,9407.0
2026-04-09,9375.0
2026-04-10,9688.0
2026-04-13,9581.0
2026-04-14,9584.0
2026-04-15,9577.0
2026-04-16,9535.0
2026-04-17,9683.0
2026-04-20,9631.0
2026-04-22,9709.0
2026-04-23,9662.0
2026-04-24,9605.0
2026-04-27,9618.0
2026-04-28,9511.0
2026-04-29,9549.0
2026-04-30,9442.0
2026-05-04,9385.0
2026-05-05,9298.0
2026-05-06,9416.0
2026-05-07,9384.0
2026-05-08,9287.0
2026-05-11,9200.0
2026-05-12,9193.0
2026-05-13,9276.0
2026-05-14,9169.0
2026-05-15,9342.0
2026-05-18,9575.0
2026-05-19,9468.0
2026-05-20,9361.0
2026-05-21,9269.0
2026-05-22,9162.0
2026-05-25,9055.0
2026-05-26,9128.0
2026-05-27,9156.0
2026-05-28,9049.0
2026-05-29,8942.0
2026-06-01,8960.0
2026-06-02,8933.0
2026-06-03,9076.0
2026-06-05,9169.0
2026-06-08,9102.0
2026-06-09,9110.0
2026-06-10,9003.0
2026-06-11,8926.0
2026-06-12,8959.0
2026-06-15,8997.0
2026-06-16,8930.0
2026-06-17,8913.0
2026-06-18,8831.0
2026-06-19,8754.0
2026-06-22,8732.0
2026-06-23,8755.0
2026-06-24,8933.0
2026-06-25,8951.0
2026-06-26,8954.0
2026-06-29,8857.0
2026-06-30,9005.0
