trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:05:00-03:00,5543.0,ORB_ADAPT,2026-02-02 09:05:00-03:00,5553.5,1.0,5553.0,,STOP_LOSS_ENTRY_BAR,-105.0,2.0,-107.0,0 days 00:00:00,9893.0,129.04999999999745,0.0
2,SHORT,2026-02-03 09:05:00-03:00,5536.5,ORB_ADAPT,2026-02-03 09:30:00-03:00,5540.5,1.0,5546.5,,TRAILING_STOP,-40.0,2.0,-42.0,0 days 00:25:00,9851.0,38.950000000004366,66.04999999999563
3,SHORT,2026-02-04 09:05:00-03:00,5535.5,ORB_ADAPT,2026-02-04 10:20:00-03:00,5520.5,1.0,5545.5,,TRAILING_STOP,150.0,2.0,148.0,0 days 01:15:00,9999.0,16.400000000003274,253.59999999999673
4,SHORT,2026-02-05 09:05:00-03:00,5536.0,ORB_ADAPT,2026-02-05 09:10:00-03:00,5546.5,1.0,5546.0,,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9892.0,125.23000000000138,0.0
5,SHORT,2026-02-06 09:05:00-03:00,5519.5,ORB_ADAPT,2026-02-06 09:10:00-03:00,5530.0,1.0,5529.5,,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9785.0,107.83999999999651,0.0
6,SHORT,2026-02-09 09:05:00-03:00,5495.0,ORB_ADAPT,2026-02-09 09:30:00-03:00,5494.0,1.0,5505.0,,TRAILING_STOP,10.0,2.0,8.0,0 days 00:25:00,9793.0,50.24999999999636,114.75000000000364
7,SHORT,2026-02-10 09:05:00-03:00,5476.0,ORB_ADAPT,2026-02-10 09:30:00-03:00,5484.5,1.0,5486.0,,TRAILING_STOP,-85.0,2.0,-87.0,0 days 00:25:00,9706.0,85.65999999999804,19.340000000001965
8,SHORT,2026-02-11 09:05:00-03:00,5462.0,ORB_ADAPT,2026-02-11 09:25:00-03:00,5468.5,1.0,5472.0,,TRAILING_STOP,-65.0,2.0,-67.0,0 days 00:20:00,9639.0,76.99999999999818,38.00000000000182
9,SHORT,2026-02-12 09:05:00-03:00,5456.5,ORB_ADAPT,2026-02-12 09:35:00-03:00,5464.0,1.0,5466.5,,TRAILING_STOP,-75.0,2.0,-77.0,0 days 00:30:00,9562.0,92.13999999999942,27.860000000000582
10,LONG,2026-02-13 09:05:00-03:00,5502.0,ORB_ADAPT,2026-02-13 09:15:00-03:00,5501.5,1.0,5492.0,,TRAILING_STOP,-5.0,2.0,-7.0,0 days 00:10:00,9555.0,47.20000000000255,102.79999999999745
11,LONG,2026-02-19 09:05:00-03:00,5531.5,ORB_ADAPT,2026-02-19 09:20:00-03:00,5521.0,1.0,5521.5,,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:15:00,9448.0,194.97000000000298,0.0
12,SHORT,2026-02-20 09:05:00-03:00,5487.5,ORB_ADAPT,2026-02-20 09:25:00-03:00,5493.5,1.0,5497.5,,TRAILING_STOP,-60.0,2.0,-62.0,0 days 00:20:00,9386.0,56.419999999998254,43.580000000001746
13,LONG,2026-02-23 09:05:00-03:00,5459.0,ORB_ADAPT,2026-02-23 09:30:00-03:00,5452.0,1.0,5449.0,,TRAILING_STOP,-70.0,2.0,-72.0,0 days 00:25:00,9314.0,88.86999999999716,36.13000000000284
14,SHORT,2026-02-24 09:05:00-03:00,5435.0,ORB_ADAPT,2026-02-24 09:10:00-03:00,5445.5,1.0,5445.0,,STOP_LOSS,-105.0,2.0,-107.0,0 days 00:05:00,9207.0,112.04999999999927,0.0
15,SHORT,2026-02-25 09:05:00-03:00,5402.0,ORB_ADAPT,2026-02-25 09:15:00-03:00,5396.5,1.0,5412.0,,TRAILING_STOP,55.0,2.0,53.0,0 days 00:10:00,9260.0,16.909999999998035,163.09000000000196
16,LONG,2026-02-26 09:05:00-03:00,5395.0,ORB_ADAPT,2026-02-26 09:55:00-03:00,5395.5,1.0,5385.0,,TRAILING_STOP,5.0,2.0,3.0,0 days 00:50:00,9263.0,43.18000000000211,111.81999999999789
