,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9748.0
2026-02-03,9636.0
2026-02-04,9604.0
2026-02-05,9487.0
2026-02-06,9300.0
2026-02-09,9263.0
2026-02-10,9146.0
2026-02-11,9049.0
2026-02-12,9002.0
2026-02-13,8920.0
2026-02-18,8920.0
2026-02-19,8803.0
2026-02-20,8761.0
2026-02-23,8689.0
2026-02-24,8552.0
2026-02-25,8480.0
2026-02-26,8443.0
2026-02-27,8286.0
2026-03-02,8439.0
2026-03-03,8637.0
2026-03-04,8715.0
2026-03-05,8538.0
2026-03-06,8486.0
2026-03-09,9639.0
2026-03-10,9497.0
2026-03-11,9400.0
2026-03-12,9338.0
2026-03-13,9201.0
2026-03-16,9569.0
2026-03-17,9952.0
2026-03-18,10645.0
2026-03-19,10378.0
2026-03-20,10336.0
2026-03-23,10204.0
2026-03-24,10012.0
2026-03-25,9955.0
2026-03-26,9928.0
2026-03-27,9761.0
2026-03-30,9564.0
2026-03-31,9492.0
2026-04-01,9400.0
2026-04-02,9678.0
2026-04-06,9641.0
2026-04-07,9604.0
2026-04-08,9507.0
2026-04-09,9460.0
2026-04-10,9943.0
2026-04-13,9851.0
2026-04-14,9774.0
2026-04-15,9732.0
2026-04-16,9680.0
2026-04-17,9558.0
2026-04-20,9506.0
2026-04-22,9424.0
2026-04-23,9357.0
2026-04-24,9220.0
2026-04-27,9143.0
2026-04-28,9041.0
2026-04-29,9144.0
2026-04-30,8927.0
2026-05-04,8895.0
2026-05-05,8823.0
2026-05-06,9011.0
2026-05-07,8894.0
2026-05-08,8852.0
2026-05-11,8795.0
2026-05-12,8688.0
2026-05-13,9751.0
2026-05-14,9819.0
2026-05-15,10127.0
2026-05-18,10590.0
2026-05-19,10508.0
2026-05-20,10406.0
2026-05-21,10319.0
2026-05-22,10267.0
2026-05-25,10070.0
2026-05-26,10003.0
2026-05-27,10226.0
2026-05-28,10124.0
2026-05-29,9972.0
2026-06-01,9860.0
2026-06-02,9713.0
2026-06-03,10156.0
2026-06-05,11229.0
2026-06-08,11112.0
2026-06-09,11015.0
2026-06-10,10913.0
2026-06-11,10791.0
2026-06-12,10669.0
2026-06-15,10507.0
2026-06-16,10810.0
2026-06-17,10743.0
2026-06-18,10561.0
2026-06-19,10484.0
2026-06-22,10432.0
2026-06-23,10370.0
2026-06-24,10333.0
2026-06-25,10271.0
2026-06-26,10154.0
2026-06-29,10102.0
2026-06-30,10040.0
