,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10000.0
2026-02-04,10000.0
2026-02-05,10000.0
2026-02-06,10000.0
2026-02-09,10000.0
2026-02-10,10000.0
2026-02-11,10000.0
2026-02-12,10000.0
2026-02-13,9918.0
2026-02-18,9918.0
2026-02-19,9801.0
2026-02-20,9801.0
2026-02-23,9729.0
2026-02-24,9592.0
2026-02-25,9592.0
2026-02-26,9555.0
2026-02-27,9555.0
2026-03-02,9708.0
2026-03-03,9906.0
2026-03-04,9984.0
2026-03-05,9807.0
2026-03-06,9755.0
2026-03-09,10908.0
2026-03-10,10766.0
2026-03-11,10669.0
2026-03-12,10669.0
2026-03-13,10532.0
2026-03-16,10900.0
2026-03-17,11283.0
2026-03-18,11976.0
2026-03-19,11709.0
2026-03-20,11667.0
2026-03-23,11535.0
2026-03-24,11343.0
2026-03-25,11343.0
2026-03-26,11343.0
2026-03-27,11343.0
2026-03-30,11343.0
2026-03-31,11343.0
2026-04-01,11343.0
2026-04-02,11343.0
2026-04-06,11343.0
2026-04-07,11343.0
2026-04-08,11343.0
2026-04-09,11343.0
2026-04-10,11343.0
2026-04-13,11251.0
2026-04-14,11251.0
2026-04-15,11251.0
2026-04-16,11251.0
2026-04-17,11251.0
2026-04-20,11251.0
2026-04-22,11251.0
2026-04-23,11251.0
2026-04-24,11114.0
2026-04-27,11037.0
2026-04-28,11037.0
2026-04-29,11140.0
2026-04-30,11140.0
2026-05-04,11108.0
2026-05-05,11108.0
2026-05-06,11296.0
2026-05-07,11179.0
2026-05-08,11179.0
2026-05-11,11179.0
2026-05-12,11179.0
2026-05-13,11179.0
2026-05-14,11247.0
2026-05-15,11555.0
2026-05-18,12018.0
2026-05-19,11936.0
2026-05-20,11834.0
2026-05-21,11747.0
2026-05-22,11747.0
2026-05-25,11550.0
2026-05-26,11550.0
2026-05-27,11550.0
2026-05-28,11550.0
2026-05-29,11398.0
2026-06-01,11398.0
2026-06-02,11398.0
2026-06-03,11398.0
2026-06-05,12471.0
2026-06-08,12354.0
2026-06-09,12257.0
2026-06-10,12257.0
2026-06-11,12257.0
2026-06-12,12135.0
2026-06-15,11973.0
2026-06-16,11973.0
2026-06-17,11906.0
2026-06-18,11724.0
2026-06-19,11647.0
2026-06-22,11647.0
2026-06-23,11647.0
2026-06-24,11647.0
2026-06-25,11647.0
2026-06-26,11530.0
2026-06-29,11530.0
2026-06-30,11530.0
