trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,LONG,2026-02-13 09:05:00-03:00,5502.0,ORB_STRUCT,2026-02-13 09:40:00-03:00,5494.0,1.0,5494.5,,STOP_LOSS,-80.0,2.0,-82.0,0 days 00:35:00,9918.0,77.20000000000255,102.79999999999745
2,LONG,2026-02-19 09:05:00-03:00,5531.5,ORB_STRUCT,2026-02-19 09:20:00-03:00,5520.0,1.0,5520.5,,STOP_LOSS,-115.0,2.0,-117.0,0 days 00:15:00,9801.0,194.97000000000298,0.0
3,LONG,2026-02-23 09:05:00-03:00,5459.0,ORB_STRUCT,2026-02-23 09:30:00-03:00,5452.0,1.0,5452.5,,STOP_LOSS,-70.0,2.0,-72.0,0 days 00:25:00,9729.0,88.86999999999716,36.13000000000284
4,SHORT,2026-02-24 09:05:00-03:00,5435.0,ORB_STRUCT,2026-02-24 09:15:00-03:00,5448.5,1.0,5448.0,,STOP_LOSS,-135.0,2.0,-137.0,0 days 00:10:00,9592.0,172.04999999999927,0.0
5,LONG,2026-02-26 09:05:00-03:00,5395.0,ORB_STRUCT,2026-02-26 09:10:00-03:00,5391.5,1.0,5392.0,,STOP_LOSS,-35.0,2.0,-37.0,0 days 00:05:00,9555.0,43.18000000000211,11.81999999999789
6,LONG,2026-03-02 09:05:00-03:00,5419.0,ORB_STRUCT,2026-03-02 17:55:00-03:00,5434.5,1.0,5398.0,,TIME_EXIT,155.0,2.0,153.0,0 days 08:50:00,9708.0,38.20999999999913,571.7900000000009
7,LONG,2026-03-03 09:05:00-03:00,5516.0,ORB_STRUCT,2026-03-03 17:55:00-03:00,5536.0,1.0,5494.0,,TIME_EXIT,200.0,2.0,198.0,0 days 08:50:00,9906.0,196.05999999999767,918.9400000000023
8,SHORT,2026-03-04 09:05:00-03:00,5498.0,ORB_STRUCT,2026-03-04 17:55:00-03:00,5490.0,1.0,5519.5,,TIME_EXIT,80.0,2.0,78.0,0 days 08:50:00,9984.0,160.7300000000032,434.2699999999968
9,LONG,2026-03-05 09:05:00-03:00,5519.0,ORB_STRUCT,2026-03-05 09:15:00-03:00,5501.5,1.0,5502.0,,STOP_LOSS,-175.0,2.0,-177.0,0 days 00:10:00,9807.0,187.0300000000043,0.0
10,SHORT,2026-03-06 09:05:00-03:00,5571.5,ORB_STRUCT,2026-03-06 09:05:00-03:00,5576.5,1.0,5576.0,,STOP_LOSS_ENTRY_BAR,-50.0,2.0,-52.0,0 days 00:00:00,9755.0,80.56999999999789,0.0
11,SHORT,2026-03-09 09:05:00-03:00,5530.5,ORB_STRUCT,2026-03-09 17:55:00-03:00,5415.0,1.0,5543.0,,TIME_EXIT,1155.0,2.0,1153.0,0 days 08:50:00,10908.0,22.200000000002547,1287.7999999999975
12,LONG,2026-03-10 09:05:00-03:00,5413.0,ORB_STRUCT,2026-03-10 11:45:00-03:00,5399.0,1.0,5399.5,,STOP_LOSS,-140.0,2.0,-142.0,0 days 02:40:00,10766.0,144.70000000000255,225.29999999999745
13,SHORT,2026-03-11 09:05:00-03:00,5407.0,ORB_STRUCT,2026-03-11 09:30:00-03:00,5416.5,1.0,5416.0,,STOP_LOSS,-95.0,2.0,-97.0,0 days 00:25:00,10669.0,120.18000000000029,64.81999999999971
14,SHORT,2026-03-13 09:05:00-03:00,5475.5,ORB_STRUCT,2026-03-13 09:20:00-03:00,5489.0,1.0,5488.5,,STOP_LOSS,-135.0,2.0,-137.0,0 days 00:15:00,10532.0,137.78000000000247,42.219999999997526
15,SHORT,2026-03-16 09:05:00-03:00,5514.5,ORB_STRUCT,2026-03-16 17:55:00-03:00,5477.5,1.0,5532.0,,TIME_EXIT,370.0,2.0,368.0,0 days 08:50:00,10900.0,126.25,438.75
16,SHORT,2026-03-17 09:05:00-03:00,5472.5,ORB_STRUCT,2026-03-17 17:55:00-03:00,5434.0,1.0,5484.0,,TIME_EXIT,385.0,2.0,383.0,0 days 08:50:00,11283.0,26.090000000003783,538.9099999999962
17,LONG,2026-03-18 09:05:00-03:00,5434.0,ORB_STRUCT,2026-03-18 17:55:00-03:00,5503.5,1.0,5420.5,,TIME_EXIT,695.0,2.0,693.0,0 days 08:50:00,11976.0,58.86999999999716,726.1300000000028
18,LONG,2026-03-19 09:05:00-03:00,5505.0,ORB_STRUCT,2026-03-19 12:05:00-03:00,5478.5,1.0,5479.0,,STOP_LOSS,-265.0,2.0,-267.0,0 days 03:00:00,11709.0,312.43000000000393,497.56999999999607
19,SHORT,2026-03-20 09:05:00-03:00,5481.5,ORB_STRUCT,2026-03-20 09:20:00-03:00,5485.5,1.0,5485.0,,STOP_LOSS,-40.0,2.0,-42.0,0 days 00:15:00,11667.0,35.87000000000444,124.12999999999556
20,LONG,2026-03-23 09:05:00-03:00,5531.5,ORB_STRUCT,2026-03-23 09:15:00-03:00,5518.5,1.0,5519.0,,STOP_LOSS,-130.0,2.0,-132.0,0 days 00:10:00,11535.0,185.65999999999804,189.34000000000196
