,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9688.0
2026-02-03,9476.0
2026-02-04,9284.0
2026-02-05,9027.0
2026-02-06,8775.0
2026-02-09,8783.0
2026-02-10,8616.0
2026-02-11,8449.0
2026-02-12,8282.0
2026-02-13,8282.0
2026-02-18,8282.0
2026-02-19,8410.0
2026-02-20,8263.0
2026-02-23,8376.0
2026-02-24,8376.0
2026-02-25,8376.0
2026-02-26,8279.0
2026-02-27,8052.0
2026-03-02,7875.0
2026-03-03,7875.0
2026-03-04,7828.0
2026-03-05,7828.0
2026-03-06,7486.0
2026-03-09,8274.0
2026-03-10,8274.0
2026-03-11,8057.0
2026-03-12,7820.0
2026-03-13,7618.0
2026-03-16,7618.0
2026-03-17,7691.0
2026-03-18,8134.0
2026-03-19,8134.0
2026-03-20,8772.0
2026-03-23,9055.0
2026-03-24,8728.0
2026-03-25,8416.0
2026-03-26,8374.0
2026-03-27,8527.0
2026-03-30,8310.0
2026-03-31,8310.0
2026-04-01,8093.0
2026-04-02,8291.0
2026-04-06,8291.0
2026-04-07,8224.0
2026-04-08,7857.0
2026-04-09,8175.0
2026-04-10,8508.0
2026-04-13,8508.0
2026-04-14,8508.0
2026-04-15,8456.0
2026-04-16,8456.0
2026-04-17,8179.0
2026-04-20,8179.0
2026-04-22,8162.0
2026-04-23,7980.0
2026-04-24,7783.0
2026-04-27,7783.0
2026-04-28,7586.0
2026-04-29,7619.0
2026-04-30,7619.0
2026-05-04,7619.0
2026-05-05,7842.0
2026-05-06,7790.0
2026-05-07,7568.0
2026-05-08,7656.0
2026-05-11,7656.0
2026-05-12,7524.0
2026-05-13,8482.0
2026-05-14,8482.0
2026-05-15,8480.0
2026-05-18,8793.0
2026-05-19,8981.0
2026-05-20,8779.0
2026-05-21,8779.0
2026-05-22,8547.0
2026-05-25,8547.0
2026-05-26,8390.0
2026-05-27,8438.0
2026-05-28,8661.0
2026-05-29,8444.0
2026-06-01,8217.0
2026-06-02,8000.0
2026-06-03,8293.0
2026-06-05,9191.0
2026-06-08,9524.0
2026-06-09,9307.0
2026-06-10,9125.0
2026-06-11,9125.0
2026-06-12,9453.0
2026-06-15,9453.0
2026-06-16,9686.0
2026-06-17,9504.0
2026-06-18,9252.0
2026-06-19,9065.0
2026-06-22,9038.0
2026-06-23,8856.0
2026-06-24,8599.0
2026-06-25,8767.0
2026-06-26,8767.0
2026-06-29,8730.0
2026-06-30,8730.0
