trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 09:45:00-03:00,5537.0,OR30_BREAK,2026-02-02 11:10:00-03:00,5568.0,1.0,5567.5,,STOP_LOSS,-310.0,2.0,-312.0,0 days 01:25:00,9688.0,324.04999999999745,0.0
2,SHORT,2026-02-03 09:50:00-03:00,5526.5,OR30_BREAK,2026-02-03 16:50:00-03:00,5547.5,1.0,5547.0,,STOP_LOSS,-210.0,2.0,-212.0,0 days 07:00:00,9476.0,358.95000000000437,226.04999999999563
3,SHORT,2026-02-04 09:45:00-03:00,5519.5,OR30_BREAK,2026-02-04 11:40:00-03:00,5538.5,1.0,5538.0,,STOP_LOSS,-190.0,2.0,-192.0,0 days 01:55:00,9284.0,221.40000000000327,93.59999999999673
4,LONG,2026-02-05 09:35:00-03:00,5560.0,OR30_BREAK,2026-02-05 11:20:00-03:00,5534.5,1.0,5535.0,,STOP_LOSS,-255.0,2.0,-257.0,0 days 01:45:00,9027.0,264.7699999999986,90.23000000000138
5,LONG,2026-02-06 10:00:00-03:00,5540.5,OR30_BREAK,2026-02-06 11:00:00-03:00,5515.5,1.0,5516.0,,STOP_LOSS,-250.0,2.0,-252.0,0 days 01:00:00,8775.0,267.1600000000035,0.0
6,SHORT,2026-02-09 10:10:00-03:00,5479.5,OR30_BREAK,2026-02-09 17:55:00-03:00,5478.5,1.0,5500.0,,TIME_EXIT,10.0,2.0,8.0,0 days 07:45:00,8783.0,195.24999999999636,179.75000000000364
7,LONG,2026-02-10 09:45:00-03:00,5490.0,OR30_BREAK,2026-02-10 11:10:00-03:00,5473.5,1.0,5474.0,,STOP_LOSS,-165.0,2.0,-167.0,0 days 01:25:00,8616.0,164.34000000000196,45.659999999998035
8,LONG,2026-02-11 09:35:00-03:00,5471.5,OR30_BREAK,2026-02-11 11:05:00-03:00,5455.0,1.0,5455.5,,STOP_LOSS,-165.0,2.0,-167.0,0 days 01:30:00,8449.0,208.00000000000182,146.99999999999818
9,LONG,2026-02-12 09:40:00-03:00,5466.0,OR30_BREAK,2026-02-12 10:35:00-03:00,5449.5,1.0,5450.0,,STOP_LOSS,-165.0,2.0,-167.0,0 days 00:55:00,8282.0,177.86000000000058,0.0
10,SHORT,2026-02-19 09:35:00-03:00,5508.5,OR30_BREAK,2026-02-19 17:55:00-03:00,5495.5,1.0,5534.5,,TIME_EXIT,130.0,2.0,128.0,0 days 08:20:00,8410.0,130.02999999999702,154.97000000000298
11,LONG,2026-02-20 09:35:00-03:00,5495.0,OR30_BREAK,2026-02-20 10:50:00-03:00,5480.5,1.0,5481.0,,STOP_LOSS,-145.0,2.0,-147.0,0 days 01:15:00,8263.0,148.58000000000175,46.419999999998254
12,SHORT,2026-02-23 09:35:00-03:00,5450.5,OR30_BREAK,2026-02-23 17:55:00-03:00,5439.0,1.0,5462.5,,TIME_EXIT,115.0,2.0,113.0,0 days 08:20:00,8376.0,111.13000000000284,403.86999999999716
13,LONG,2026-02-26 09:35:00-03:00,5399.5,OR30_BREAK,2026-02-26 10:00:00-03:00,5390.0,1.0,5390.5,,STOP_LOSS,-95.0,2.0,-97.0,0 days 00:25:00,8279.0,148.1800000000021,66.81999999999789
14,LONG,2026-02-27 09:45:00-03:00,5418.0,OR30_BREAK,2026-02-27 12:40:00-03:00,5395.5,1.0,5396.0,,STOP_LOSS,-225.0,2.0,-227.0,0 days 02:55:00,8052.0,221.18999999999687,138.81000000000313
15,LONG,2026-03-02 09:50:00-03:00,5452.0,OR30_BREAK,2026-03-02 17:55:00-03:00,5434.5,1.0,5398.0,,TIME_EXIT,-175.0,2.0,-177.0,0 days 08:05:00,7875.0,273.2099999999991,241.79000000000087
16,SHORT,2026-03-04 10:00:00-03:00,5485.5,OR30_BREAK,2026-03-04 17:55:00-03:00,5490.0,1.0,5519.5,,TIME_EXIT,-45.0,2.0,-47.0,0 days 07:55:00,7828.0,75.7300000000032,309.2699999999968
