,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10063.0
2026-02-04,10076.0
2026-02-05,10149.0
2026-02-06,10152.0
2026-02-09,10140.0
2026-02-10,10123.0
2026-02-11,10141.0
2026-02-12,10094.0
2026-02-13,10052.0
2026-02-18,10052.0
2026-02-19,10135.0
2026-02-20,10143.0
2026-02-23,10141.0
2026-02-24,10084.0
2026-02-25,10097.0
2026-02-26,10105.0
2026-02-27,10123.0
2026-03-02,10076.0
2026-03-03,10159.0
2026-03-04,10087.0
2026-03-05,9950.0
2026-03-06,9778.0
2026-03-09,9771.0
2026-03-10,9779.0
2026-03-11,9782.0
2026-03-12,9760.0
2026-03-13,9718.0
2026-03-16,9711.0
2026-03-17,9739.0
2026-03-18,9782.0
2026-03-19,9775.0
2026-03-20,9798.0
2026-03-23,9781.0
2026-03-24,9709.0
2026-03-25,9607.0
2026-03-26,9555.0
2026-03-27,9558.0
2026-03-30,9586.0
2026-03-31,9614.0
2026-04-01,9582.0
2026-04-02,9560.0
2026-04-06,9548.0
2026-04-07,9556.0
2026-04-08,9549.0
2026-04-09,9537.0
2026-04-10,9590.0
2026-04-13,9533.0
2026-04-14,9566.0
2026-04-15,9539.0
2026-04-16,9542.0
2026-04-17,9535.0
2026-04-20,9463.0
2026-04-22,9356.0
2026-04-23,9259.0
2026-04-24,9352.0
2026-04-27,9340.0
2026-04-28,9323.0
2026-04-29,9246.0
2026-04-30,9249.0
2026-05-04,9297.0
2026-05-05,9305.0
2026-05-06,9293.0
2026-05-07,9246.0
2026-05-08,9259.0
2026-05-11,9252.0
2026-05-12,9230.0
2026-05-13,9153.0
2026-05-14,9141.0
2026-05-15,9054.0
2026-05-18,9057.0
2026-05-19,9145.0
2026-05-20,9198.0
2026-05-21,9221.0
2026-05-22,9304.0
2026-05-25,9312.0
2026-05-26,9245.0
2026-05-27,9228.0
2026-05-28,9236.0
2026-05-29,9234.0
2026-06-01,9202.0
2026-06-02,9170.0
2026-06-03,9143.0
2026-06-05,9076.0
2026-06-08,8904.0
2026-06-09,8917.0
2026-06-10,9015.0
2026-06-11,9018.0
2026-06-12,8971.0
2026-06-15,8969.0
2026-06-16,8962.0
2026-06-17,8910.0
2026-06-18,8908.0
2026-06-19,8931.0
2026-06-22,8949.0
2026-06-23,8917.0
2026-06-24,8885.0
2026-06-25,8883.0
2026-06-26,8836.0
2026-06-29,8779.0
2026-06-30,8732.0
