trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-03 17:30:00-03:00,5544.0,LATE_MOM_EXIT,2026-02-03 17:55:00-03:00,5537.5,1.0,5555.5,,TIME_EXIT,65.0,2.0,63.0,0 days 00:25:00,10063.0,8.950000000004366,86.04999999999563
2,SHORT,2026-02-04 17:30:00-03:00,5542.5,LATE_MOM_EXIT,2026-02-04 17:55:00-03:00,5541.0,1.0,5557.0,,TIME_EXIT,15.0,2.0,13.0,0 days 00:25:00,10076.0,6.400000000003274,78.59999999999673
3,LONG,2026-02-05 17:30:00-03:00,5558.5,LATE_MOM_EXIT,2026-02-05 17:55:00-03:00,5566.0,1.0,5546.0,,TIME_EXIT,75.0,2.0,73.0,0 days 00:25:00,10149.0,24.769999999998618,85.23000000000138
4,SHORT,2026-02-06 17:30:00-03:00,5511.5,LATE_MOM_EXIT,2026-02-06 17:55:00-03:00,5511.0,1.0,5525.0,,TIME_EXIT,5.0,2.0,3.0,0 days 00:25:00,10152.0,7.8399999999965075,27.160000000003492
5,SHORT,2026-02-09 17:30:00-03:00,5477.5,LATE_MOM_EXIT,2026-02-09 17:55:00-03:00,5478.5,1.0,5490.0,,TIME_EXIT,-10.0,2.0,-12.0,0 days 00:25:00,10140.0,30.249999999996362,19.750000000003638
6,LONG,2026-02-10 17:30:00-03:00,5482.0,LATE_MOM_EXIT,2026-02-10 17:55:00-03:00,5480.5,1.0,5472.5,,TIME_EXIT,-15.0,2.0,-17.0,0 days 00:25:00,10123.0,29.340000000001965,5.6599999999980355
7,SHORT,2026-02-11 17:30:00-03:00,5467.0,LATE_MOM_EXIT,2026-02-11 17:55:00-03:00,5465.0,1.0,5474.5,,TIME_EXIT,20.0,2.0,18.0,0 days 00:25:00,10141.0,11.999999999998181,33.00000000000182
8,SHORT,2026-02-12 17:30:00-03:00,5485.0,LATE_MOM_EXIT,2026-02-12 17:55:00-03:00,5489.5,1.0,5494.0,,TIME_EXIT,-45.0,2.0,-47.0,0 days 00:25:00,10094.0,57.13999999999942,12.860000000000582
9,LONG,2026-02-13 17:30:00-03:00,5509.5,LATE_MOM_EXIT,2026-02-13 17:55:00-03:00,5505.5,1.0,5493.0,,TIME_EXIT,-40.0,2.0,-42.0,0 days 00:25:00,10052.0,67.20000000000255,0.0
10,SHORT,2026-02-19 17:30:00-03:00,5504.0,LATE_MOM_EXIT,2026-02-19 17:55:00-03:00,5495.5,1.0,5518.0,,TIME_EXIT,85.0,2.0,83.0,0 days 00:25:00,10135.0,10.029999999997017,109.97000000000298
