,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10093.0
2026-02-03,10186.0
2026-02-04,10279.0
2026-02-05,10372.0
2026-02-06,10465.0
2026-02-09,10465.0
2026-02-10,10558.0
2026-02-11,10558.0
2026-02-12,10651.0
2026-02-13,10651.0
2026-02-18,10651.0
2026-02-19,10651.0
2026-02-20,10744.0
2026-02-23,10637.0
2026-02-24,10530.0
2026-02-25,10423.0
2026-02-26,10316.0
2026-02-27,10209.0
2026-03-02,10347.0
2026-03-03,10440.0
2026-03-04,10598.0
2026-03-05,10491.0
2026-03-06,10599.0
2026-03-09,10492.0
2026-03-10,10492.0
2026-03-11,10585.0
2026-03-12,10678.0
2026-03-13,10771.0
2026-03-16,10664.0
2026-03-17,10664.0
2026-03-18,10557.0
2026-03-19,10450.0
2026-03-20,10343.0
2026-03-23,10436.0
2026-03-24,10329.0
2026-03-25,10329.0
2026-03-26,10422.0
2026-03-27,10422.0
2026-03-30,10315.0
2026-03-31,10315.0
2026-04-01,10208.0
2026-04-02,10301.0
2026-04-06,10301.0
2026-04-07,10301.0
2026-04-08,10194.0
2026-04-09,10287.0
2026-04-10,10180.0
2026-04-13,10073.0
2026-04-14,10166.0
2026-04-15,10166.0
2026-04-16,10166.0
2026-04-17,10166.0
2026-04-20,10259.0
2026-04-22,10152.0
2026-04-23,10245.0
2026-04-24,10338.0
2026-04-27,10338.0
2026-04-28,10431.0
2026-04-29,10431.0
2026-04-30,10324.0
2026-05-04,10417.0
2026-05-05,10310.0
2026-05-06,10310.0
2026-05-07,10403.0
2026-05-08,10296.0
2026-05-11,10389.0
2026-05-12,10389.0
2026-05-13,10389.0
2026-05-14,10282.0
2026-05-15,10175.0
2026-05-18,10068.0
2026-05-19,10161.0
2026-05-20,10054.0
2026-05-21,9947.0
2026-05-22,9840.0
2026-05-25,9733.0
2026-05-26,9733.0
2026-05-27,9733.0
2026-05-28,9733.0
2026-05-29,9626.0
2026-06-01,9626.0
2026-06-02,9626.0
2026-06-03,9519.0
2026-06-05,9612.0
2026-06-08,9705.0
2026-06-09,9598.0
2026-06-10,9598.0
2026-06-11,9691.0
2026-06-12,9691.0
2026-06-15,9784.0
2026-06-16,9677.0
2026-06-17,9677.0
2026-06-18,9677.0
2026-06-19,9770.0
2026-06-22,9663.0
2026-06-23,9756.0
2026-06-24,9756.0
2026-06-25,9649.0
2026-06-26,9542.0
2026-06-29,9635.0
2026-06-30,9528.0
