,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,9858.0
2026-02-04,9858.0
2026-02-05,9761.0
2026-02-06,10019.0
2026-02-09,10192.0
2026-02-10,10192.0
2026-02-11,10065.0
2026-02-12,9983.0
2026-02-13,9891.0
2026-02-18,9674.0
2026-02-19,9527.0
2026-02-20,9455.0
2026-02-23,9378.0
2026-02-24,9306.0
2026-02-25,9104.0
2026-02-26,9052.0
2026-02-27,9052.0
2026-03-02,9300.0
2026-03-03,9643.0
2026-03-04,9881.0
2026-03-05,9744.0
2026-03-06,9197.0
2026-03-09,8780.0
2026-03-10,8663.0
2026-03-11,8596.0
2026-03-12,8524.0
2026-03-13,8477.0
2026-03-16,8990.0
2026-03-17,8990.0
2026-03-18,8938.0
2026-03-19,8676.0
2026-03-20,9329.0
2026-03-23,9097.0
2026-03-24,8920.0
2026-03-25,8673.0
2026-03-26,8421.0
2026-03-27,8169.0
2026-03-30,8062.0
2026-03-31,8535.0
2026-04-01,8543.0
2026-04-02,8181.0
2026-04-06,8204.0
2026-04-07,8167.0
2026-04-08,8100.0
2026-04-09,8063.0
2026-04-10,7996.0
2026-04-13,7769.0
2026-04-14,7622.0
2026-04-15,7550.0
2026-04-16,7550.0
2026-04-17,7623.0
2026-04-20,7623.0
2026-04-22,7591.0
2026-04-23,7591.0
2026-04-24,7449.0
2026-04-27,7449.0
2026-04-28,7317.0
2026-04-29,7485.0
2026-04-30,7868.0
2026-05-04,7806.0
2026-05-05,8179.0
2026-05-06,7872.0
2026-05-07,7650.0
2026-05-08,7878.0
2026-05-11,7776.0
2026-05-12,7669.0
2026-05-13,7632.0
2026-05-14,7580.0
2026-05-15,7903.0
2026-05-18,7903.0
2026-05-19,8156.0
2026-05-20,7944.0
2026-05-21,7777.0
2026-05-22,7675.0
2026-05-25,7663.0
2026-05-26,7606.0
2026-05-27,7606.0
2026-05-28,7509.0
2026-05-29,7437.0
2026-06-01,7380.0
2026-06-02,7468.0
2026-06-03,7941.0
2026-06-05,7834.0
2026-06-08,7647.0
2026-06-09,7585.0
2026-06-10,7388.0
2026-06-11,8131.0
2026-06-12,8079.0
2026-06-15,7797.0
2026-06-16,7640.0
2026-06-17,7553.0
2026-06-18,7846.0
2026-06-19,7754.0
2026-06-22,7754.0
2026-06-23,7777.0
2026-06-24,7780.0
2026-06-25,7728.0
2026-06-26,7641.0
2026-06-29,7549.0
2026-06-30,7549.0
