trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-03 09:00:00-03:00,5544.0,GAP_GO,2026-02-03 16:50:00-03:00,5558.0,1.0,5557.5,,STOP_LOSS,-140.0,2.0,-142.0,0 days 07:50:00,9858.0,183.95000000000437,401.04999999999563
2,LONG,2026-02-05 09:00:00-03:00,5545.5,GAP_GO,2026-02-05 09:00:00-03:00,5536.0,1.0,5536.5,,STOP_LOSS_ENTRY_BAR,-95.0,2.0,-97.0,0 days 00:00:00,9761.0,104.76999999999862,0.0
3,SHORT,2026-02-06 09:00:00-03:00,5537.0,GAP_GO,2026-02-06 17:55:00-03:00,5511.0,1.0,5566.0,,TIME_EXIT,260.0,2.0,258.0,0 days 08:55:00,10019.0,97.83999999999651,407.1600000000035
4,SHORT,2026-02-09 09:00:00-03:00,5496.0,GAP_GO,2026-02-09 17:55:00-03:00,5478.5,1.0,5508.5,,TIME_EXIT,175.0,2.0,173.0,0 days 08:55:00,10192.0,40.24999999999636,344.75000000000364
5,SHORT,2026-02-11 09:00:00-03:00,5469.5,GAP_GO,2026-02-11 10:30:00-03:00,5482.0,1.0,5481.5,,STOP_LOSS,-125.0,2.0,-127.0,0 days 01:30:00,10065.0,166.99999999999818,138.00000000000182
6,SHORT,2026-02-12 09:00:00-03:00,5458.5,GAP_GO,2026-02-12 09:40:00-03:00,5466.5,1.0,5466.0,,STOP_LOSS,-80.0,2.0,-82.0,0 days 00:40:00,9983.0,77.13999999999942,52.86000000000058
7,LONG,2026-02-13 09:00:00-03:00,5501.5,GAP_GO,2026-02-13 09:55:00-03:00,5492.5,1.0,5493.0,,STOP_LOSS,-90.0,2.0,-92.0,0 days 00:55:00,9891.0,87.20000000000255,107.79999999999745
8,SHORT,2026-02-18 13:00:00-03:00,5483.5,GAP_GO,2026-02-18 14:30:00-03:00,5505.0,1.0,5504.5,,STOP_LOSS,-215.0,2.0,-217.0,0 days 01:30:00,9674.0,258.6200000000008,121.3799999999992
9,LONG,2026-02-19 09:00:00-03:00,5528.5,GAP_GO,2026-02-19 09:20:00-03:00,5514.0,1.0,5514.5,,STOP_LOSS,-145.0,2.0,-147.0,0 days 00:20:00,9527.0,164.97000000000298,60.02999999999702
10,SHORT,2026-02-20 09:00:00-03:00,5488.0,GAP_GO,2026-02-20 09:30:00-03:00,5495.0,1.0,5494.5,,STOP_LOSS,-70.0,2.0,-72.0,0 days 00:30:00,9455.0,76.41999999999825,68.58000000000175
