,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10053.0
2026-02-03,10141.0
2026-02-04,10194.0
2026-02-05,10247.0
2026-02-06,10305.0
2026-02-09,10198.0
2026-02-10,10251.0
2026-02-11,10144.0
2026-02-12,10197.0
2026-02-13,10090.0
2026-02-18,10090.0
2026-02-19,9983.0
2026-02-20,10036.0
2026-02-23,10089.0
2026-02-24,10152.0
2026-02-25,10045.0
2026-02-26,9938.0
2026-02-27,9831.0
2026-03-02,9969.0
2026-03-03,10022.0
2026-03-04,10180.0
2026-03-05,10073.0
2026-03-06,10181.0
2026-03-09,10074.0
2026-03-10,10127.0
2026-03-11,10195.0
2026-03-12,10248.0
2026-03-13,10301.0
2026-03-16,10194.0
2026-03-17,10087.0
2026-03-18,9980.0
2026-03-19,9873.0
2026-03-20,9766.0
2026-03-23,9854.0
2026-03-24,9747.0
2026-03-25,9747.0
2026-03-26,9800.0
2026-03-27,9800.0
2026-03-30,9693.0
2026-03-31,9586.0
2026-04-01,9479.0
2026-04-02,9532.0
2026-04-06,9585.0
2026-04-07,9638.0
2026-04-08,9531.0
2026-04-09,9584.0
2026-04-10,9477.0
2026-04-13,9370.0
2026-04-14,9423.0
2026-04-15,9316.0
2026-04-16,9369.0
2026-04-17,9262.0
2026-04-20,9315.0
2026-04-22,9208.0
2026-04-23,9261.0
2026-04-24,9314.0
2026-04-27,9207.0
2026-04-28,9260.0
2026-04-29,9313.0
2026-04-30,9366.0
2026-05-04,9419.0
2026-05-05,9312.0
2026-05-06,9312.0
2026-05-07,9365.0
2026-05-08,9258.0
2026-05-11,9311.0
2026-05-12,9204.0
2026-05-13,9257.0
2026-05-14,9310.0
2026-05-15,9203.0
2026-05-18,9096.0
2026-05-19,9149.0
2026-05-20,9202.0
2026-05-21,9095.0
2026-05-22,8988.0
2026-05-25,8881.0
2026-05-26,8934.0
2026-05-27,8827.0
2026-05-28,8880.0
2026-05-29,8933.0
2026-06-01,8826.0
2026-06-02,8719.0
2026-06-03,8612.0
2026-06-05,8665.0
2026-06-08,8718.0
2026-06-09,8771.0
2026-06-10,8824.0
2026-06-11,8907.0
2026-06-12,8960.0
2026-06-15,9013.0
2026-06-16,9066.0
2026-06-17,9119.0
2026-06-18,9119.0
2026-06-19,9172.0
2026-06-22,9225.0
2026-06-23,9278.0
2026-06-24,9171.0
2026-06-25,9064.0
2026-06-26,8957.0
2026-06-29,9010.0
2026-06-30,8903.0
