,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10000.0
2026-02-03,10000.0
2026-02-04,10000.0
2026-02-05,10000.0
2026-02-06,10000.0
2026-02-09,10000.0
2026-02-10,10000.0
2026-02-11,10000.0
2026-02-12,10000.0
2026-02-13,10000.0
2026-02-18,10000.0
2026-02-19,9883.0
2026-02-20,9883.0
2026-02-23,9883.0
2026-02-24,9883.0
2026-02-25,9811.0
2026-02-26,9811.0
2026-02-27,9654.0
2026-03-02,9807.0
2026-03-03,10005.0
2026-03-04,10083.0
2026-03-05,9906.0
2026-03-06,9854.0
2026-03-09,11007.0
2026-03-10,10865.0
2026-03-11,10768.0
2026-03-12,10768.0
2026-03-13,10768.0
2026-03-16,11136.0
2026-03-17,11136.0
2026-03-18,11136.0
2026-03-19,10869.0
2026-03-20,10869.0
2026-03-23,10737.0
2026-03-24,10737.0
2026-03-25,10737.0
2026-03-26,10737.0
2026-03-27,10737.0
2026-03-30,10737.0
2026-03-31,10737.0
2026-04-01,10645.0
2026-04-02,10923.0
2026-04-06,10923.0
2026-04-07,10923.0
2026-04-08,10826.0
2026-04-09,10826.0
2026-04-10,10826.0
2026-04-13,10734.0
2026-04-14,10657.0
2026-04-15,10657.0
2026-04-16,10657.0
2026-04-17,10535.0
2026-04-20,10535.0
2026-04-22,10535.0
2026-04-23,10468.0
2026-04-24,10331.0
2026-04-27,10331.0
2026-04-28,10229.0
2026-04-29,10229.0
2026-04-30,10012.0
2026-05-04,10012.0
2026-05-05,10012.0
2026-05-06,10200.0
2026-05-07,10083.0
2026-05-08,10083.0
2026-05-11,10083.0
2026-05-12,10083.0
2026-05-13,10083.0
2026-05-14,10151.0
2026-05-15,10459.0
2026-05-18,10922.0
2026-05-19,10840.0
2026-05-20,10840.0
2026-05-21,10840.0
2026-05-22,10840.0
2026-05-25,10643.0
2026-05-26,10643.0
2026-05-27,10643.0
2026-05-28,10541.0
2026-05-29,10541.0
2026-06-01,10541.0
2026-06-02,10394.0
2026-06-03,10394.0
2026-06-05,10394.0
2026-06-08,10277.0
2026-06-09,10180.0
2026-06-10,10078.0
2026-06-11,10078.0
2026-06-12,10078.0
2026-06-15,9916.0
2026-06-16,9916.0
2026-06-17,9849.0
2026-06-18,9667.0
2026-06-19,9667.0
2026-06-22,9667.0
2026-06-23,9605.0
2026-06-24,9568.0
2026-06-25,9506.0
2026-06-26,9506.0
2026-06-29,9454.0
2026-06-30,9454.0
