,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9748.0
2026-02-03,9636.0
2026-02-04,9604.0
2026-02-05,9487.0
2026-02-06,9300.0
2026-02-09,9263.0
2026-02-10,9146.0
2026-02-11,9049.0
2026-02-12,9002.0
2026-02-13,9002.0
2026-02-18,9002.0
2026-02-19,8885.0
2026-02-20,8843.0
2026-02-23,8843.0
2026-02-24,8706.0
2026-02-25,8634.0
2026-02-26,8634.0
2026-02-27,8634.0
2026-03-02,8634.0
2026-03-03,8832.0
2026-03-04,8832.0
2026-03-05,8655.0
2026-03-06,8655.0
2026-03-09,8655.0
2026-03-10,8655.0
2026-03-11,8558.0
2026-03-12,8558.0
2026-03-13,8558.0
2026-03-16,8558.0
2026-03-17,8941.0
2026-03-18,8941.0
2026-03-19,8674.0
2026-03-20,8674.0
2026-03-23,8542.0
2026-03-24,8350.0
2026-03-25,8350.0
2026-03-26,8323.0
2026-03-27,8156.0
2026-03-30,8156.0
2026-03-31,8084.0
2026-04-01,8084.0
2026-04-02,8362.0
2026-04-06,8362.0
2026-04-07,8325.0
2026-04-08,8228.0
2026-04-09,8228.0
2026-04-10,8711.0
2026-04-13,8711.0
2026-04-14,8711.0
2026-04-15,8669.0
2026-04-16,8617.0
2026-04-17,8495.0
2026-04-20,8495.0
2026-04-22,8495.0
2026-04-23,8428.0
2026-04-24,8291.0
2026-04-27,8214.0
2026-04-28,8214.0
2026-04-29,8214.0
2026-04-30,7997.0
2026-05-04,7997.0
2026-05-05,7997.0
2026-05-06,7997.0
2026-05-07,7997.0
2026-05-08,7997.0
2026-05-11,7997.0
2026-05-12,7890.0
2026-05-13,7890.0
2026-05-14,7890.0
2026-05-15,8198.0
2026-05-18,8198.0
2026-05-19,8198.0
2026-05-20,8198.0
2026-05-21,8198.0
2026-05-22,8146.0
2026-05-25,7949.0
2026-05-26,7949.0
2026-05-27,8172.0
2026-05-28,8070.0
2026-05-29,7918.0
2026-06-01,7918.0
2026-06-02,7771.0
2026-06-03,7771.0
2026-06-05,8844.0
2026-06-08,8844.0
2026-06-09,8844.0
2026-06-10,8742.0
2026-06-11,8742.0
2026-06-12,8620.0
2026-06-15,8620.0
2026-06-16,8620.0
2026-06-17,8553.0
2026-06-18,8371.0
2026-06-19,8294.0
2026-06-22,8294.0
2026-06-23,8294.0
2026-06-24,8257.0
2026-06-25,8195.0
2026-06-26,8195.0
2026-06-29,8195.0
2026-06-30,8133.0
