,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9748.0
2026-02-03,9636.0
2026-02-04,9604.0
2026-02-05,9487.0
2026-02-06,9300.0
2026-02-09,9141.0
2026-02-10,9024.0
2026-02-11,8927.0
2026-02-12,8880.0
2026-02-13,8798.0
2026-02-18,8798.0
2026-02-19,8681.0
2026-02-20,8639.0
2026-02-23,8470.0
2026-02-24,8333.0
2026-02-25,8261.0
2026-02-26,8142.0
2026-02-27,7985.0
2026-03-02,8138.0
2026-03-03,8336.0
2026-03-04,8414.0
2026-03-05,8237.0
2026-03-06,8028.0
2026-03-09,9181.0
2026-03-10,9039.0
2026-03-11,8942.0
2026-03-12,9533.0
2026-03-13,9229.0
2026-03-16,9597.0
2026-03-17,9980.0
2026-03-18,10673.0
2026-03-19,10406.0
2026-03-20,10227.0
2026-03-23,10095.0
2026-03-24,9903.0
2026-03-25,9846.0
2026-03-26,9819.0
2026-03-27,9652.0
2026-03-30,9455.0
2026-03-31,9383.0
2026-04-01,9099.0
2026-04-02,9377.0
2026-04-06,9228.0
2026-04-07,9191.0
2026-04-08,8957.0
2026-04-09,8818.0
2026-04-10,9301.0
2026-04-13,9209.0
2026-04-14,9132.0
2026-04-15,8983.0
2026-04-16,8859.0
2026-04-17,8737.0
2026-04-20,8685.0
2026-04-22,8603.0
2026-04-23,8359.0
2026-04-24,8222.0
2026-04-27,8145.0
2026-04-28,8043.0
2026-04-29,8146.0
2026-04-30,7929.0
2026-05-04,7897.0
2026-05-05,7825.0
2026-05-06,8013.0
2026-05-07,7896.0
2026-05-08,7854.0
2026-05-11,7797.0
2026-05-12,7690.0
2026-05-13,8753.0
2026-05-14,8821.0
2026-05-15,9129.0
2026-05-18,9592.0
2026-05-19,9363.0
2026-05-20,9261.0
2026-05-21,9174.0
2026-05-22,9040.0
2026-05-25,8843.0
2026-05-26,8776.0
2026-05-27,8999.0
2026-05-28,8897.0
2026-05-29,8745.0
2026-06-01,8633.0
2026-06-02,8486.0
2026-06-03,8929.0
2026-06-05,10002.0
2026-06-08,9708.0
2026-06-09,9449.0
2026-06-10,9347.0
2026-06-11,9873.0
2026-06-12,9751.0
2026-06-15,9589.0
2026-06-16,9892.0
2026-06-17,9825.0
2026-06-18,9643.0
2026-06-19,9566.0
2026-06-22,9547.0
2026-06-23,9343.0
2026-06-24,9306.0
2026-06-25,9244.0
2026-06-26,9127.0
2026-06-29,9075.0
2026-06-30,9013.0
