,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,10073.0
2026-02-03,10016.0
2026-02-04,10134.0
2026-02-05,10062.0
2026-02-06,9995.0
2026-02-09,9968.0
2026-02-10,9901.0
2026-02-11,9859.0
2026-02-12,9807.0
2026-02-13,9810.0
2026-02-18,9810.0
2026-02-19,9758.0
2026-02-20,10061.0
2026-02-23,9909.0
2026-02-24,9847.0
2026-02-25,9790.0
2026-02-26,9763.0
2026-02-27,9691.0
2026-03-02,9959.0
2026-03-03,9959.0
2026-03-04,9882.0
2026-03-05,9760.0
2026-03-06,10323.0
2026-03-09,10246.0
2026-03-10,10159.0
2026-03-11,10097.0
2026-03-12,10680.0
2026-03-13,10598.0
2026-03-16,10471.0
2026-03-17,10404.0
2026-03-18,10362.0
2026-03-19,10362.0
2026-03-20,10220.0
2026-03-23,10053.0
2026-03-24,9941.0
2026-03-25,9894.0
2026-03-26,9852.0
2026-03-27,9852.0
2026-03-30,9950.0
2026-03-31,10428.0
2026-04-01,10371.0
2026-04-02,10304.0
2026-04-06,10232.0
2026-04-07,10195.0
2026-04-08,10383.0
2026-04-09,10601.0
2026-04-10,10544.0
2026-04-13,10497.0
2026-04-14,10410.0
2026-04-15,10433.0
2026-04-16,10371.0
2026-04-17,10329.0
2026-04-20,10292.0
2026-04-22,10245.0
2026-04-23,10245.0
2026-04-24,10128.0
2026-04-27,10086.0
2026-04-28,10054.0
2026-04-29,10002.0
2026-04-30,10002.0
2026-05-04,9945.0
2026-05-05,9918.0
2026-05-06,9886.0
2026-05-07,9886.0
2026-05-08,9804.0
2026-05-11,9767.0
2026-05-12,9767.0
2026-05-13,9740.0
2026-05-14,9603.0
2026-05-15,9546.0
2026-05-18,9514.0
2026-05-19,9437.0
2026-05-20,9945.0
2026-05-21,9883.0
2026-05-22,9826.0
2026-05-25,9789.0
2026-05-26,9757.0
2026-05-27,9655.0
2026-05-28,9598.0
2026-05-29,9531.0
2026-06-01,9484.0
2026-06-02,9422.0
2026-06-03,9385.0
2026-06-05,9318.0
2026-06-08,9318.0
2026-06-09,9271.0
2026-06-10,9229.0
2026-06-11,9192.0
2026-06-12,9145.0
2026-06-15,9108.0
2026-06-16,9251.0
2026-06-17,9149.0
2026-06-18,9087.0
2026-06-19,9040.0
2026-06-22,9003.0
2026-06-23,8911.0
2026-06-24,8839.0
2026-06-25,8762.0
2026-06-26,8725.0
2026-06-29,8693.0
2026-06-30,8641.0
