trade_id,side,entry_datetime,entry_price,entry_reason,exit_datetime,exit_price,quantity,stop_price_inicial,target_price_inicial,exit_reason,gross_pnl,costs,net_pnl,duration,equity_after_trade,MAE,MFE
1,SHORT,2026-02-02 11:35:00-03:00,5565.5,ORB_NY,2026-02-02 17:55:00-03:00,5558.0,1.0,5579.0,,TIME_EXIT,75.0,2.0,73.0,0 days 06:20:00,10073.0,49.04999999999745,180.95000000000255
2,SHORT,2026-02-03 11:35:00-03:00,5506.0,ORB_NY,2026-02-03 11:40:00-03:00,5511.5,1.0,5511.0,,STOP_LOSS,-55.0,2.0,-57.0,0 days 00:05:00,10016.0,78.95000000000437,0.0
3,LONG,2026-02-04 11:35:00-03:00,5528.0,ORB_NY,2026-02-04 17:55:00-03:00,5540.0,1.0,5520.5,,TIME_EXIT,120.0,2.0,118.0,0 days 06:20:00,10134.0,33.599999999996726,321.4000000000033
4,LONG,2026-02-05 11:35:00-03:00,5542.5,ORB_NY,2026-02-05 11:35:00-03:00,5535.5,1.0,5536.0,,STOP_LOSS_ENTRY_BAR,-70.0,2.0,-72.0,0 days 00:00:00,10062.0,99.76999999999862,0.0
5,SHORT,2026-02-06 11:35:00-03:00,5504.5,ORB_NY,2026-02-06 11:40:00-03:00,5511.0,1.0,5510.5,,STOP_LOSS,-65.0,2.0,-67.0,0 days 00:05:00,9995.0,62.83999999999651,0.0
6,LONG,2026-02-09 11:35:00-03:00,5490.0,ORB_NY,2026-02-09 11:35:00-03:00,5487.5,1.0,5488.0,,STOP_LOSS_ENTRY_BAR,-25.0,2.0,-27.0,0 days 00:00:00,9968.0,114.75000000000364,0.0
7,SHORT,2026-02-10 11:35:00-03:00,5469.0,ORB_NY,2026-02-10 11:35:00-03:00,5475.5,1.0,5475.0,,STOP_LOSS_ENTRY_BAR,-65.0,2.0,-67.0,0 days 00:00:00,9901.0,100.65999999999804,0.0
8,LONG,2026-02-11 11:35:00-03:00,5465.0,ORB_NY,2026-02-11 11:35:00-03:00,5461.0,1.0,5461.5,,STOP_LOSS_ENTRY_BAR,-40.0,2.0,-42.0,0 days 00:00:00,9859.0,48.00000000000182,16.99999999999818
9,SHORT,2026-02-12 11:35:00-03:00,5443.5,ORB_NY,2026-02-12 12:30:00-03:00,5448.5,1.0,5448.0,,STOP_LOSS,-50.0,2.0,-52.0,0 days 00:55:00,9807.0,62.13999999999942,77.86000000000058
10,LONG,2026-02-13 11:35:00-03:00,5505.0,ORB_NY,2026-02-13 17:55:00-03:00,5505.5,1.0,5496.0,,TIME_EXIT,5.0,2.0,3.0,0 days 06:20:00,9810.0,57.20000000000255,262.79999999999745
11,LONG,2026-02-19 11:35:00-03:00,5504.0,ORB_NY,2026-02-19 12:05:00-03:00,5499.0,1.0,5499.5,,STOP_LOSS,-50.0,2.0,-52.0,0 days 00:30:00,9758.0,89.97000000000298,100.02999999999702
12,SHORT,2026-02-20 11:35:00-03:00,5478.5,ORB_NY,2026-02-20 17:55:00-03:00,5448.0,1.0,5482.0,,TIME_EXIT,305.0,2.0,303.0,0 days 06:20:00,10061.0,11.419999999998254,313.58000000000175
