,equity_eod
2026-01-02,10000.0
2026-01-05,10000.0
2026-01-06,10000.0
2026-01-07,10000.0
2026-01-08,10000.0
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,10000.0
2026-01-20,10000.0
2026-01-21,10000.0
2026-01-22,10000.0
2026-01-23,10000.0
2026-01-26,10000.0
2026-01-27,10000.0
2026-01-28,10000.0
2026-01-29,10000.0
2026-01-30,10000.0
2026-02-02,9748.0
2026-02-03,9636.0
2026-02-04,9604.0
2026-02-05,9487.0
2026-02-06,9300.0
2026-02-09,9263.0
2026-02-10,9146.0
2026-02-11,9049.0
2026-02-12,9002.0
2026-02-13,8920.0
2026-02-18,8920.0
2026-02-19,8803.0
2026-02-20,8761.0
2026-02-23,8689.0
2026-02-24,8552.0
2026-02-25,8480.0
2026-02-26,8443.0
2026-02-27,8626.0
2026-03-02,8749.0
2026-03-03,8947.0
2026-03-04,8980.0
2026-03-05,8803.0
2026-03-06,8751.0
2026-03-09,9159.0
2026-03-10,9017.0
2026-03-11,8920.0
2026-03-12,8858.0
2026-03-13,8721.0
2026-03-16,9089.0
2026-03-17,9192.0
2026-03-18,9685.0
2026-03-19,9733.0
2026-03-20,9691.0
2026-03-23,9559.0
2026-03-24,9367.0
2026-03-25,9310.0
2026-03-26,9283.0
2026-03-27,9116.0
2026-03-30,8919.0
2026-03-31,8847.0
2026-04-01,8755.0
2026-04-02,9123.0
2026-04-06,9086.0
2026-04-07,9049.0
2026-04-08,8952.0
2026-04-09,8905.0
2026-04-10,9388.0
2026-04-13,9296.0
2026-04-14,9219.0
2026-04-15,9177.0
2026-04-16,9125.0
2026-04-17,9003.0
2026-04-20,8951.0
2026-04-22,8869.0
2026-04-23,8802.0
2026-04-24,8665.0
2026-04-27,8588.0
2026-04-28,8486.0
2026-04-29,8589.0
2026-04-30,8372.0
2026-05-04,8340.0
2026-05-05,8268.0
2026-05-06,8456.0
2026-05-07,8339.0
2026-05-08,8297.0
2026-05-11,8240.0
2026-05-12,8133.0
2026-05-13,8261.0
2026-05-14,8329.0
2026-05-15,8397.0
2026-05-18,8620.0
2026-05-19,8538.0
2026-05-20,8436.0
2026-05-21,8349.0
2026-05-22,8297.0
2026-05-25,8100.0
2026-05-26,8033.0
2026-05-27,8116.0
2026-05-28,8014.0
2026-05-29,7862.0
2026-06-01,7750.0
2026-06-02,7603.0
2026-06-03,7666.0
2026-06-05,7969.0
2026-06-08,7852.0
2026-06-09,7755.0
2026-06-10,7653.0
2026-06-11,7531.0
2026-06-12,7409.0
2026-06-15,7247.0
2026-06-16,7420.0
2026-06-17,7353.0
2026-06-18,7171.0
2026-06-19,7094.0
2026-06-22,7042.0
2026-06-23,6980.0
2026-06-24,6943.0
2026-06-25,6881.0
2026-06-26,6949.0
2026-06-29,6897.0
2026-06-30,6970.0
